"","purple....PGBObyQGBO_GSE114574_Tejero_FC5___"
"1","ACSBG1"
"2","ADRA1A"
"3","AGPAT3"
"4","AGT"
"5","AHCYL1"
"6","FYN"
"7","GJA1"
"8","GLI2"
"9","GMNN"
"10","GPR37L1"
"11","NT5C2"
"12","PLSCR4"
"13","PON2"
"14","PPARA"
"15","PPP1R3D"
"16","SELENBP1"
"17","SLC15A2"
"18","SLC22A5"
"19","SNTB1"
"20","SNX5"
"21","SOX21"
"22","SRI"
"23","SRP14"
