"","magenta....PGBObyQGBO_GSE114574_Tejero_FC5___"
"1","AP1B1"
"2","CNOT3"
"3","FSCN1"
"4","GAS6"
"5","GIT1"
"6","IGHMBP2"
"7","NCKIPSD"
"8","NENF"
"9","NUTF2"
"10","PCDHGA9"
"11","POLR2E"
"12","PPP2R5B"
"13","PRCC"
"14","PSMC4"
"15","PSMD3"
"16","PTMS"
"17","PTPN9"
"18","RAB3A"
"19","RABGGTA"
"20","RAI1"
"21","SOX15"
"22","TERF2"
