"","HuAgeMSNDsplit_18....PSVZbyQSVZ_Morizur_FC5___"
"1","AFF3"
"2","COTL1"
"3","GBE1"
"4","GPR161"
"5","ICMT"
"6","INSM1"
"7","PBX1"
"8","PDK3"
"9","PIAS2"
"10","PIP5K1B"
"11","PSMD2"
"12","REV3L"
"13","RPS11"
"14","SDC1"
"15","SLIT1"
"16","SMARCA5"
"17","ST3GAL1"
"18","SYT17"
"19","TSEN34"
"20","TTC1"
"21","TXNL1"
"22","ZNF274"
