"","black....PGBObyQGBO_GSE114574_Tejero_FC5___"
"1","AHCY"
"2","FTH1"
"3","GABARAPL2"
"4","GLO1"
"5","GMPS"
"6","HMGN1"
"7","NDUFS3"
"8","NDUFV2"
"9","NEDD8"
"10","NUDT1"
"11","OAT"
"12","PSMA1"
"13","PSMA2"
"14","PSMA3"
"15","PSMC2"
"16","PSMC6"
"17","PSMD10"
"18","SLC25A3"
"19","SNAPC5"
"20","SNRPB2"
"21","SNRPD2"
"22","SNRPE"
"23","SNRPG"
"24","SP2"
"25","SPOP"
"26","TERF2IP"
