"","HuAgeMSNDsplit_12....PSVZbyQSVZ_Morizur_FC5___"
"1","ACTR2"
"2","ADSS"
"3","AP1S1"
"4","ARL4C"
"5","CCDC6"
"6","CDC27"
"7","CDK5R1"
"8","CDKN3"
"9","DCC"
"10","DGKE"
"11","ENSA"
"12","FEM1B"
"13","GDAP1"
"14","HUS1"
"15","LDB2"
"16","MAPK8"
"17","MTMR4"
"18","NNT"
"19","NOLC1"
"20","PRMT1"
"21","RAB28"
"22","SACS"
"23","SUMO3"
"24","TIMM17A"
"25","TM6SF1"
"26","TOMM22"
"27","VDAC1"
"28","VPS4B"
