"","HuAgeMSNDsplit_04....QSVZbyPSVZ_Morizur_FC5___"
"1","APOC1"
"2","ARHGDIB"
"3","ARPC5"
"4","CD53"
"5","FCGRT"
"6","GRN"
"7","IFITM1"
"8","IFITM2"
"9","IFITM3"
"10","IL10RB"
"11","IL18"
"12","M6PR"
"13","MAN1A1"
"14","MGAT4A"
"15","NINJ1"
"16","PLA2G7"
"17","PLEK"
"18","PLTP"
"19","RBMS1"
"20","SERPINB1"
"21","SOAT1"
"22","STAT5A"
"23","TLR7"
"24","UCP2"
"25","VAMP8"
