"","HuAgeMSNDsplit_01....MyeOligoByothers_Zhang_Cuffdiff2FCover20__"
"1","ABAT"
"2","ABI1"
"3","CDC7"
"4","CLDN14"
"5","CTNNA2"
"6","CTNNA3"
"7","EIF2B2"
"8","GAS2"
"9","GFRA4"
"10","HMGN2"
"11","KIF1A"
"12","MAP2K7"
"13","MORF4L2"
"14","NBEAL1"
"15","NIT1"
"16","NUDT6"
"17","PDSS2"
"18","PKD2L1"
"19","POLR2I"
"20","PSMD13"
"21","RAPGEF4"
"22","TSTA3"
"23","TTC3"
