"","HuAgeMSNDsplit_03....MicroByMono_Zhang_Cuffdiff2FCover20__"
"1","ACTL6B"
"2","ATF3"
"3","BSN"
"4","CA11"
"5","CAMK2A"
"6","CD83"
"7","CDR1"
"8","CHAD"
"9","CHN1"
"10","CHST8"
"11","DST"
"12","ELAVL4"
"13","ENO2"
"14","ERBB4"
"15","GAP43"
"16","GPR162"
"17","GSTM3"
"18","HRH3"
"19","ITGA9"
"20","KLK8"
"21","MMP15"
"22","NEFL"
"23","PKIA"
"24","RHOB"
"25","SLC22A17"
"26","SLC4A3"
"27","SLC6A11"
"28","SLC7A8"
"29","SNRPN"
