"","HuAgeMSNDsplit_03....PGBCbyQGBC_Aulestia_FC5___"
"1","BASP1"
"2","CLDN1"
"3","CXCL3"
"4","CYB561"
"5","CYR61"
"6","GFRA1"
"7","H1F0"
"8","HTR1D"
"9","ID2"
"10","KCNN4"
"11","KCNS1"
"12","MCM2"
"13","MLF1"
"14","NAP1L2"
"15","NEFL"
"16","NTN1"
"17","PKIA"
"18","PLXNA2"
"19","QPRT"
"20","SLC6A9"
"21","ST8SIA2"
"22","STC2"
"23","TAGLN3"
"24","TNC"
"25","TNFSF9"
