"","HuAgeMSNDsplit_20....astroBYoFC5__"
"1","APOE"
"2","ATP1B2"
"3","AXL"
"4","BMP7"
"5","CLDN10"
"6","CLU"
"7","CPE"
"8","DAG1"
"9","EDNRB"
"10","EPHX2"
"11","FGFR3"
"12","FXYD1"
"13","GLI3"
"14","GLUD1"
"15","GLUD2"
"16","GPC5"
"17","GRIN2C"
"18","NDRG2"
"19","NR1D1"
"20","NTSR2"
"21","PHKA1"
"22","PTPRZ1"
"23","SDC4"
"24","SLC1A2"
"25","SLC1A4"
"26","SLC4A4"
"27","SLC9A3R1"
"28","SLCO1C1"
"29","TST"
"30","TTYH1"
