"","magenta....qnpBYtap_Mukherjee_FC5___"
"1","ABCA3"
"2","ACTR1A"
"3","ARHGDIA"
"4","ASPSCR1"
"5","ATP6V0A1"
"6","ATP6V0C"
"7","B3GAT3"
"8","CFL1"
"9","DPYSL4"
"10","E4F1"
"11","ECM1"
"12","FMNL1"
"13","FXR2"
"14","GIT1"
"15","HDAC5"
"16","IGHMBP2"
"17","ITGA3"
"18","MPP2"
"19","NAPA"
"20","NENF"
"21","NOVA2"
"22","NPTXR"
"23","NUCB1"
"24","PIGQ"
"25","POLR2A"
"26","PPME1"
"27","PPP2R5B"
"28","PSMC4"
"29","PSMD3"
"30","RAI1"
"31","RARA"
"32","RCE1"
"33","RPS6KA4"
"34","SFXN3"
"35","SNCG"
"36","SOX15"
"37","TRIM3"
"38","TSC2"
"39","VAMP2"
