"","HuAgeMSNDsplit_06....MyeOligoByothers_Zhang_Cuffdiff2FCover20__"
"1","ARHGEF2"
"2","BACE1"
"3","CA14"
"4","CNTN2"
"5","FA2H"
"6","GAMT"
"7","GJB1"
"8","GTF2I"
"9","HSD11B1"
"10","KLK6"
"11","MAG"
"12","MAL"
"13","MAP7"
"14","MOG"
"15","NINJ2"
"16","PDE1C"
"17","PRIM1"
"18","PRKCQ"
"19","PRRG1"
"20","SLC24A2"
"21","STMN4"
"22","THBS3"
