"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"yellow","nscBYnpc_Walker_FC5___","User",9.7320126288707e-73
"yellow","MicrogliByothers_Zhang_Cuffdiff2FCover20__","User",1.88439905968474e-72
"cyan","endoBYoFC5__","User",5.19698255077519e-30
"cyan","EndotheByothers_Zhang_Cuffdiff2FCover20__","User",1.02749864784921e-22
"yellow","microgliaBYoFC5__","User",2.77965256985479e-21
"royalblue","astroBYoFC5__","User",1.42409537001357e-19
"purple","astroBYoFC5__","User",3.681524432543e-17
"brown","neuronBYoFC5__","User",3.12195435939804e-16
"royalblue","AstroByothers_Zhang_Cuffdiff2FCover20__","User",3.22744057280244e-14
"royalblue","QSVZbyPSVZ_Morizur_FC5___","User",6.51562030101933e-12
"pink","PGBCbyQGBC_Aulestia_FC5___","User",7.90171968686755e-11
"red","myeoligoBYoFC5__","User",3.16102893035569e-09
"red","MyeOligoByothers_Zhang_Cuffdiff2FCover20__","User",8.0240332080145e-09
"yellow","macrophagesBYoFC5__","User",7.43326527952416e-08
"pink","npcBYnsc_Walker_FC5___","User",2.38639351599177e-07
"yellow","MonoByMicro_Zhang_Cuffdiff2FCover20__","User",4.16157135991816e-07
"purple","QSVZbyPSVZ_Morizur_FC5___","User",3.20593427016157e-06
"yellow","monocytesBYoFC5__","User",7.06123219413143e-06
"purple","AstroByothers_Zhang_Cuffdiff2FCover20__","User",1.4610359073814e-05
"black","PSVZbyQSVZ_Morizur_FC5___","User",2.48006510601222e-05
"red","npcBYnsc_Walker_FC5___","User",0.000172177669681495
"midnightblue","neuronBYoFC5__","User",0.000191455225091935
"lightyellow","QGBObyPGBO_GSE114574_Tejero_FC5___","User",0.000275547929187723
"midnightblue","NeuronByothers_Zhang_Cuffdiff2FCover20__","User",0.000530100600967712
"pink","QNSCbyPNSC_Ben_FC5___","User",0.00215159911810503
"magenta","qnpBYtap_Mukherjee_FC5___","User",0.00220495704229067
"royalblue","MicroByMono_Zhang_Cuffdiff2FCover20__","User",0.00228300934557982
"brown","NeuronByothers_Zhang_Cuffdiff2FCover20__","User",0.00401304556990001
"cyan","MicroByMacro_Zhang_Cuffdiff2FCover20__","User",0.011912971370763
"yellow","PGBCbyQGBC_Aulestia_FC5___","User",0.0204076954132107
"pink","EndotheByothers_Zhang_Cuffdiff2FCover20__","User",0.0491986205940077
