"","purple....AstroByothers_Zhang_Cuffdiff2FCover20__"
"1","ACSBG1"
"2","ALDH1L1"
"3","EIF2AK2"
"4","FAM107A"
"5","GJA1"
"6","GLI2"
"7","ITGA7"
"8","LHX2"
"9","MAPK4"
"10","NTRK3"
"11","PAX6"
"12","PDLIM5"
"13","PHKG1"
"14","PPARA"
"15","PPP1R3C"
"16","SELENBP1"
"17","SLC15A2"
"18","SLC1A3"
"19","SOX9"
"20","TRPS1"
