"","yellow....QGBObyPGBO_GSE114574_Tejero_FC5___"
"1","CA9"
"2","CAP1"
"3","CAPG"
"4","CD74"
"5","CDKN1A"
"6","CEACAM1"
"7","CEBPB"
"8","CSNK1G3"
"9","CSTB"
"10","CXCR4"
"11","CYTL1"
"12","EMP3"
"13","HLA-DRA"
"14","HMOX1"
"15","LCP1"
"16","MAN1C1"
"17","MKNK1"
"18","PDCD1LG2"
"19","RPS6KA1"
"20","S100A10"
"21","SEC24D"
"22","TMED9"
"23","WDR44"
