"","pink....PGBCbyQGBC_Aulestia_FC5___"
"1","C1S"
"2","CES1"
"3","CFH"
"4","COL11A1"
"5","COL15A1"
"6","COL1A1"
"7","COL1A2"
"8","COL3A1"
"9","COL6A3"
"10","CTSK"
"11","CYP1B1"
"12","DSG2"
"13","DSP"
"14","FBLN1"
"15","FBN1"
"16","FOXC2"
"17","GPR88"
"18","GYPC"
"19","IGFBP5"
"20","IL1R1"
"21","KRT19"
"22","LTBP2"
"23","MFAP2"
"24","NOV"
"25","PKP2"
"26","RARRES2"
"27","SLPI"
"28","TGFBI"
"29","TNFRSF11B"
"30","VCAM1"
"31","VGLL3"
