"","HuAgeMSNDsplit_03....AstroByothers_Zhang_Cuffdiff2FCover20__"
"1","ABCB9"
"2","ATF2"
"3","CAPN11"
"4","CCNA1"
"5","CTH"
"6","DMD"
"7","FABP7"
"8","GABRB1"
"9","GNAO1"
"10","GRM5"
"11","KCNN2"
"12","PARP3"
"13","PAX4"
"14","PIPOX"
"15","PLA2G3"
"16","PLAGL1"
"17","PMPCB"
"18","PYGB"
"19","RGS7"
"20","SEMA4A"
"21","SFRP5"
"22","SHC3"
"23","SLC6A11"
"24","SMARCAL1"
"25","SMARCD3"
"26","ST6GALNAC5"
"27","TNC"
