"","blue....MicroByMono_Zhang_Cuffdiff2FCover20__"
"1","ABCC3"
"2","ADAMTS1"
"3","BMP1"
"4","CD34"
"5","DDX3Y"
"6","DNAI2"
"7","EDN1"
"8","ENTPD2"
"9","EPHA2"
"10","F11R"
"11","F9"
"12","FKBP5"
"13","GEM"
"14","IER3"
"15","IL1A"
"16","KCNK12"
"17","LAG3"
"18","LAMB2"
"19","MMP14"
"20","PDE3B"
"21","PLXNB1"
"22","RNASE4"
"23","SLC16A1"
"24","SMO"
"25","TLR3"
"26","YES1"
