"","HuAgeMSNDsplit_07....QGBObyPGBO_GSE114574_Tejero_FC5___"
"1","BLCAP"
"2","CAB39"
"3","CBX1"
"4","CCT7"
"5","CCT8"
"6","CHMP2A"
"7","COX17"
"8","COX8A"
"9","CRYL1"
"10","DDT"
"11","LSM3"
"12","PMVK"
"13","RNF103"
"14","ROCK1"
"15","RPA1"
"16","RPS6KA2"
"17","SERPINI1"
"18","VTI1B"
"19","YTHDC1"
"20","ZNF232"
