"","HuAgeMSNDsplit_08....qnpBYtap_Mukherjee_FC5___"
"1","B4GALT4"
"2","BAMBI"
"3","CLEC3B"
"4","COL18A1"
"5","COL1A1"
"6","COPZ2"
"7","CRABP1"
"8","CYP1B1"
"9","FMOD"
"10","FOXC1"
"11","FZD2"
"12","GPR88"
"13","IGF2"
"14","IGFBP2"
"15","IGFBP5"
"16","IL1R1"
"17","ITGBL1"
"18","JAM2"
"19","MN1"
"20","PCOLCE"
"21","POSTN"
"22","PRRX2"
"23","RAB3IL1"
"24","SEMA3C"
"25","SLC22A2"
"26","VCAM1"
"27","VGLL3"
