"","yellow....monocytesBYoFC5__"
"1","ANXA5"
"2","AOAH"
"3","CD69"
"4","CD74"
"5","DHRS9"
"6","FCN1"
"7","HLA-DQB1"
"8","IFI16"
"9","IL18RAP"
"10","IL1R2"
"11","IRAK3"
"12","LILRA6"
"13","LILRB3"
"14","LILRB4"
"15","MNDA"
"16","MS4A6A"
"17","NKG7"
"18","PSTPIP2"
"19","RBMS1"
"20","RNASE2"
"21","RNASE3"
"22","RNASE6"
"23","S100A8"
"24","S100A9"
"25","SLC1A5"
"26","TLR8"
"27","TSC22D1"
