"","red....qnpBYtap_Mukherjee_FC5___"
"1","ANGPTL2"
"2","ASPA"
"3","CDC42EP2"
"4","CHST2"
"5","CNTN2"
"6","CTTN"
"7","EML1"
"8","FGFR2"
"9","FOLH1"
"10","GM2A"
"11","GPT"
"12","GREM1"
"13","HERC2"
"14","HUNK"
"15","LIPA"
"16","LMO7"
"17","PAQR4"
"18","PGM5"
"19","PMM2"
"20","PMP22"
"21","RAB40B"
"22","RCL1"
"23","RNH1"
"24","UBQLN3"
"25","UVRAG"
"26","YIF1A"
