"","HuAgeMSNDsplit_06....QGBObyPGBO_GSE114574_Tejero_FC5___"
"1","CA14"
"2","CA4"
"3","CAPN3"
"4","CD9"
"5","COL13A1"
"6","COL9A2"
"7","CYP51A1"
"8","DBT"
"9","DUSP10"
"10","ELOVL1"
"11","ERBB3"
"12","MAFK"
"13","MAP7"
"14","MLH1"
"15","PECR"
"16","PIK3C2B"
"17","PMM2"
"18","SEMA3G"
"19","SEPT4"
"20","SH3BP5"
"21","TF"
"22","TRIM17"
"23","VAMP3"
"24","YIF1A"
