"","HuAgeMSNDsplit_09....QGBObyPGBO_GSE114574_Tejero_FC5___"
"1","CAPNS1"
"2","CBX4"
"3","COPE"
"4","COPS7B"
"5","CRAT"
"6","CSNK2B"
"7","CTBP1"
"8","DHPS"
"9","ECM1"
"10","EEF2"
"11","HDAC5"
"12","JAG2"
"13","MECP2"
"14","RPS6KA4"
"15","SFXN3"
"16","SUPT6H"
"17","ZBTB17"
"18","ZBTB7A"
"19","ZNF335"
"20","ZNF580"
