"","HuAgeMSNDsplit_08....QSVZbyPSVZ_Morizur_FC5___"
"1","APOD"
"2","ASPN"
"3","B4GALT4"
"4","BMP6"
"5","CDH11"
"6","COL1A2"
"7","FMO1"
"8","GHR"
"9","GPR88"
"10","LAMA2"
"11","LHCGR"
"12","NID2"
"13","PCOLCE"
"14","PDGFD"
"15","PHLDA1"
"16","PRELP"
"17","PTGDS"
"18","SLC13A3"
"19","SLC22A8"
"20","TNFAIP8"
"21","VCAM1"
