"","yellow....qnpBYtap_Mukherjee_FC5___"
"1","AIP"
"2","ALDH8A1"
"3","ANXA1"
"4","ANXA2"
"5","BTG2"
"6","CD14"
"7","CD151"
"8","CEBPA"
"9","EMP3"
"10","FLOT2"
"11","GADD45B"
"12","GRN"
"13","IFITM1"
"14","IFITM2"
"15","IFITM3"
"16","IFNGR2"
"17","IL10RB"
"18","IL16"
"19","MGAT4A"
"20","MVP"
"21","MYO7A"
"22","PTEN"
"23","PYCARD"
"24","STAT5A"
"25","TCIRG1"
"26","WNT5A"
