"","HuAgeMSNDsplit_04....EndotheByothers_Zhang_Cuffdiff2FCover20__"
"1","ANXA1"
"2","ARHGEF5"
"3","CD69"
"4","FLT4"
"5","IFITM1"
"6","IFITM2"
"7","IFITM3"
"8","KCNQ1"
"9","MGST2"
"10","NMI"
"11","NR1H3"
"12","PCDH12"
"13","PLTP"
"14","PROCR"
"15","S100A11"
"16","SERPINA1"
"17","ST8SIA4"
"18","STC1"
"19","THBD"
"20","TIMP1"
"21","VIM"
