"","green....MicrogliByothers_Zhang_Cuffdiff2FCover20__"
"1","ADAM8"
"2","BRD2"
"3","CCL22"
"4","FBXW4"
"5","GTPBP1"
"6","HRC"
"7","IRF4"
"8","ITGAX"
"9","LAT"
"10","LCK"
"11","MARK2"
"12","MMP12"
"13","MYLIP"
"14","MYO9B"
"15","NME6"
"16","OPHN1"
"17","PEPD"
"18","POU2F1"
"19","ROBO3"
"20","SCMH1"
"21","SEMA4D"
"22","TMC6"
