"","turquoise....microgliaBYoFC5__"
"1","AK1"
"2","ARL4D"
"3","CCL3"
"4","CCL7"
"5","CCL8"
"6","CH25H"
"7","CRYBB1"
"8","CTSF"
"9","EGR3"
"10","FCRL2"
"11","GCNT1"
"12","GP9"
"13","KCND1"
"14","LRRC3"
"15","LTC4S"
"16","LY6G6E"
"17","MAF"
"18","NCF1"
"19","PTGS1"
"20","RENBP"
"21","SERPINE1"
"22","SERPINF1"
"23","SIGLEC6"
"24","SIGLEC8"
"25","SNN"
"26","TCEAL1"
