"","yellow....MicroByMacro_Zhang_Cuffdiff2FCover20__"
"1","ADORA3"
"2","AEBP1"
"3","AIF1"
"4","CCL18"
"5","CD300C"
"6","CD33"
"7","CST7"
"8","FOS"
"9","IFITM1"
"10","IFITM2"
"11","IFITM3"
"12","LILRA6"
"13","LILRB3"
"14","LILRB4"
"15","MS4A6A"
"16","PLSCR1"
"17","PROCR"
"18","S100A8"
"19","S100A9"
"20","SLC2A5"
"21","TGFBR1"
"22","TREM2"
