"","HuAgeMSNDsplit_01....MacroByMicro_Zhang_Cuffdiff2FCover20__"
"1","ATP1A3"
"2","CD36"
"3","CD79A"
"4","DAPK1"
"5","DIAPH3"
"6","DOK2"
"7","ERCC1"
"8","GATA6"
"9","HGD"
"10","IL2RG"
"11","ITGA4"
"12","KIF11"
"13","MKI67"
"14","MS4A1"
"15","NT5E"
"16","PADI4"
"17","PRTN3"
"18","PTGIR"
"19","RARG"
"20","RASGRP2"
"21","SAA1"
"22","VNN3"
