"","HuAgeMSNDsplit_17....PSVZbyQSVZ_Morizur_FC5___"
"1","ABCB7"
"2","ABHD2"
"3","ADAM9"
"4","ARID4A"
"5","ARL2BP"
"6","ATF6"
"7","CHD4"
"8","CPNE3"
"9","DCUN1D1"
"10","DHX9"
"11","DUT"
"12","EBAG9"
"13","EPRS"
"14","GNB1"
"15","GNL2"
"16","HPS5"
"17","KCNK10"
"18","MPHOSPH6"
"19","NBN"
"20","NFIB"
"21","NUCB2"
"22","PPIG"
"23","PPP2R2A"
"24","PTPN11"
"25","SMARCE1"
"26","SNAPC1"
"27","SSB"
"28","STAM2"
"29","TBL1X"
"30","TCF4"
"31","TEAD1"
"32","TOP1"
"33","TPR"
"34","VAPB"
