"","HuAgeMSNDsplit_04....PGBObyQGBO_GSE114574_Tejero_FC5___"
"1","ARRB2"
"2","BST2"
"3","FCGR2A"
"4","FCGRT"
"5","GLIPR1"
"6","IFITM1"
"7","INPP5D"
"8","M6PR"
"9","NFE2"
"10","NINJ1"
"11","PCDH12"
"12","PCK1"
"13","PPARG"
"14","PSMB8"
"15","PYGL"
"16","RAB27A"
"17","SIL1"
"18","SLC15A3"
"19","SLC1A5"
"20","SLC7A7"
"21","SOAT1"
"22","TNFAIP3"
