"","HuAgeMSNDsplit_08....MonoByMicro_Zhang_Cuffdiff2FCover20__"
"1","CFB"
"2","CXCL6"
"3","DNASE1L3"
"4","F10"
"5","F13A1"
"6","FABP4"
"7","FGL2"
"8","GYPC"
"9","IQGAP2"
"10","LILRB5"
"11","LOXL1"
"12","LTBP2"
"13","MUC4"
"14","PTGFR"
"15","SLC22A3"
"16","SLC6A13"
"17","SLPI"
"18","TGFBI"
"19","WNT11"
