"","pink....nscBYnpc_Walker_FC5___"
"1","C1R"
"2","C2"
"3","CCL15"
"4","CYP4B1"
"5","DAB2"
"6","DNASE1L3"
"7","F13A1"
"8","FCGR2B"
"9","FLNB"
"10","FOLR2"
"11","FOXC2"
"12","GDF15"
"13","IL10"
"14","IQGAP2"
"15","LILRB5"
"16","MRC1"
"17","PLAU"
"18","RAB3IL1"
"19","RNASEL"
"20","SIX2"
"21","TGFBI"
"22","TNFAIP8"
"23","WNT11"
