"","HuAgeMSNDsplit_03....nscBYnpc_Walker_FC5___"
"1","ARHGEF3"
"2","ATF3"
"3","BCHE"
"4","CCNF"
"5","CD38"
"6","CD79B"
"7","CD83"
"8","CX3CR1"
"9","CYP2E1"
"10","FSCN2"
"11","GPR31"
"12","HEXA"
"13","IL21R"
"14","LDHC"
"15","LGALS13"
"16","OAS3"
"17","OSM"
"18","PDYN"
"19","PIK3R5"
"20","QPRT"
"21","SEMA4A"
"22","SLC7A8"
"23","TNNC2"
