"","blue....NeuronByothers_Zhang_Cuffdiff2FCover20__"
"1","ARFIP1"
"2","C1QTNF1"
"3","CACNA1A"
"4","CALCA"
"5","CELSR3"
"6","CREM"
"7","CSNK1G1"
"8","CTNNB1"
"9","DLX5"
"10","EEF1D"
"11","GDF5"
"12","GNRH1"
"13","HTR3A"
"14","LHX1"
"15","LRRFIP1"
"16","MME"
"17","PLEK2"
"18","PPFIA1"
"19","RIT1"
"20","SRRM2"
"21","TEKT2"
"22","TLE2"
"23","TRPC4"
"24","UNC119"
"25","USP29"
"26","ZMYM3"
