"","HuAgeMSNDsplit_05....astroBYoFC5__"
"1","ALPL"
"2","BCAN"
"3","CA5B"
"4","CCNL1"
"5","CNN1"
"6","COL16A1"
"7","DOCK1"
"8","FADS1"
"9","FDFT1"
"10","GYS1"
"11","HSD17B7"
"12","MYO10"
"13","MYO6"
"14","POLG2"
"15","RAB30"
"16","RAPGEF3"
"17","RARRES1"
"18","RGS9"
"19","SLC2A4"
"20","SLC38A3"
"21","SON"
"22","SPAG9"
