"","HuAgeMSNDsplit_19....PSVZbyQSVZ_Morizur_FC5___"
"1","EEF1A1"
"2","FAU"
"3","HMGCL"
"4","MAPK14"
"5","NACA"
"6","PFDN5"
"7","RPL10A"
"8","RPL11"
"9","RPL13A"
"10","RPL22"
"11","RPL35"
"12","RPL36A"
"13","RPL6"
"14","RPL8"
"15","RPS14"
"16","RPS15A"
"17","RPS17"
"18","RPS3"
"19","RPS4X"
"20","RPS5"
"21","RPS6"
"22","RPS7"
"23","SNRPB"
