"","microgliaBYo","AveExpr","F","P.Value","adj.P.Val"
"Asb10",3.52772296569326,0.93807832289096,970.036551022643,7.58818851671955e-24,1.67873494555387e-19
"Asb2",3.46032871883532,1.10469097915497,525.942077084764,3.87421551657018e-20,4.28546349365411e-16
"Tnfrsf17",4.30394126284692,1.51373904455106,409.356305890914,1.19284546973877e-18,8.79644010901027e-15
"Slc2a5",7.05446370108854,2.35946784922951,381.992566622421,3.04458693193408e-18,1.68388491737944e-14
"Mymk",3.26179087708725,1.07290588157971,368.240471913336,4.99369832100071e-18,2.20951175910997e-14
"Rab3il1",5.43644791352435,2.47773433680157,337.871381609736,1.58735397299943e-17,5.8528386574444e-14
"Ccl12",7.40916298572214,2.84068564789646,329.358932301028,2.23333124619784e-17,7.05828387994782e-14
"Olfml3",7.86065341503309,3.4279250802052,281.281895824654,1.81577022843834e-16,5.02128559546767e-13
"Capn2",-3.32747231245901,3.59154842464302,277.190417548947,2.20265524427845e-16,5.38071650298241e-13
"Gm13889",5.24992045888049,5.17938693822257,275.111766590129,2.43218211950568e-16,5.38071650298241e-13
"Ntpcr",2.74288886973037,3.89925189492405,271.510938821522,2.89250525997599e-16,5.81735398785899e-13
"Crybb1",6.52121578710954,2.86099870580255,266.361411939989,3.71978007701553e-16,6.85772455365122e-13
"Slamf9",3.67253412176585,3.4235485474852,256.129416246201,6.21401830350024e-16,1.05748251483335e-12
"Duoxa1",2.35058676506323,0.785274199023111,250.894915729093,8.13777376274229e-16,1.28594263537963e-12
"Capn3",3.98489792005906,1.5579993561435,234.026707508824,2.01147783983337e-15,2.96666161670891e-12
"Abhd15",2.47662203032317,1.89091781491222,226.871051340017,3.00566935464448e-15,4.1559014458e-12
"Liph",2.89177330592761,0.878296703344215,218.831634756232,4.7846816964526e-15,5.98996947827419e-12
"Myl2",1.9452469422196,0.678824155248034,218.518381039263,4.8736360624208e-15,5.98996947827419e-12
"Tmem52",5.34689230602295,2.07896017172981,217.449764352327,5.19063817970194e-15,6.04381518155505e-12
"Havcr2",3.68176346222848,2.41862173364949,209.650046322036,8.2920368757424e-15,9.17223659010246e-12
"Lag3",6.05078647362554,2.98418790689394,206.771528841119,9.89542223236258e-15,1.04245917165027e-11
"Ybx3",-2.14280911743285,4.05938178823193,203.521618811613,1.21130436967337e-14,1.21807666228564e-11
"Fam167b",5.83712178461954,2.48447051433438,202.6081118059,1.28280378233283e-14,1.23388991637171e-11
