"","cortex_brain","substantia_nigra_brain","brain","cortex_brain","substantia_nigra_brain","brain"
"cortex_brain",1,0.378231279731871,0.411315220876298,NA,0,0
"substantia_nigra_brain",0.378231279731871,1,0.784879762503286,0,NA,0
"brain",0.411315220876298,0.784879762503286,1,0,0,NA
