"","AD","CON","HD","MS","PD","AD","CON","HD","MS","PD"
"AD",1,0.374936399570834,0.64387323751265,0.393168761365436,0.416334042398194,NA,0,0,0,0
"CON",0.374936399570834,1,-0.0710167092300123,0.866395011970226,0.928248445352083,0,NA,3.30378124857589e-09,0,0
"HD",0.64387323751265,-0.0710167092300123,1,-0.153488890497954,-0.0920122927407079,0,3.30378124857589e-09,NA,0,1.68753899743024e-14
"MS",0.393168761365436,0.866395011970226,-0.153488890497954,1,0.794699044665689,0,0,0,NA,0
"PD",0.416334042398194,0.928248445352083,-0.0920122927407079,0.794699044665689,1,0,0,1.68753899743024e-14,0,NA
