"","GSE33000","GSE26927","GSE108000","GSE43490","GSE20292","GSE20164","GSE20333","GSE33000","GSE26927","GSE108000","GSE43490","GSE20292","GSE20164","GSE20333"
"GSE33000",1,-0.138239042662449,-0.0552135807399504,-0.0277116993099679,-0.000172171396814294,-0.0698384589636601,-0.0941375993370662,NA,0,4.28553679787669e-06,0.0211143789703498,0.98857157640942,5.97868643481547e-09,4.21884749357559e-15
"GSE26927",-0.138239042662449,1,0.0010533653037278,0.297245106691506,0.492924966084732,0.585233701305759,0.619757124981703,0,NA,0.930166518424688,0,0,0,0
"GSE108000",-0.0552135807399504,0.0010533653037278,1,-0.0115317719563043,-0.000159426928065772,0.0354437553661203,0.0753517527918192,4.28553679787669e-06,0.930166518424688,NA,0.337345168403974,0.98941747944386,0.00318093363202121,3.43271633340692e-10
"GSE43490",-0.0277116993099679,0.297245106691506,-0.0115317719563043,1,0.349667340729563,0.342953673219875,0.354998942619064,0.0211143789703498,0,0.337345168403974,NA,0,0,0
"GSE20292",-0.000172171396814294,0.492924966084732,-0.000159426928065772,0.349667340729563,1,0.700529317726267,0.713793088967626,0.98857157640942,0,0.98941747944386,0,NA,0,0
"GSE20164",-0.0698384589636601,0.585233701305759,0.0354437553661203,0.342953673219875,0.700529317726267,1,0.800021543614644,5.97868643481547e-09,0,0.00318093363202121,0,0,NA,0
"GSE20333",-0.0941375993370662,0.619757124981703,0.0753517527918192,0.354998942619064,0.713793088967626,0.800021543614644,1,4.21884749357559e-15,0,3.43271633340692e-10,0,0,0,NA
