"","GSE33000","GSE26927","GSE108000","GSE43490","GSE20292","GSE20164","GSE20333","GSE33000","GSE26927","GSE108000","GSE43490","GSE20292","GSE20164","GSE20333"
"GSE33000",1,1.00000000000001,0.999999999999993,1.00000000000001,1.00000000000001,1,1,NA,NA,0,NA,NA,NA,NA
"GSE26927",1.00000000000001,1,0.999999999999997,1,1,1.00000000000001,1,NA,NA,0,0,0,NA,0
"GSE108000",0.999999999999993,0.999999999999997,1,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0,0,NA,0,0,0,0
"GSE43490",1.00000000000001,1,0.999999999999997,1,1,1,1,NA,0,0,NA,0,0,0
"GSE20292",1.00000000000001,1,0.999999999999997,1,1,1,1,NA,0,0,0,NA,0,0
"GSE20164",1,1.00000000000001,0.999999999999997,1,1,1,1,NA,NA,0,0,0,NA,0
"GSE20333",1,1,0.999999999999997,1,1,1,1,NA,0,0,0,0,0,NA
