"","AD","CON","HD","MS","PD","AD","CON","HD","MS","PD"
"AD",1,0.979066681385379,0.995237330265488,0.989111942612847,0.963944339470131,NA,0,0,0,0
"CON",0.979066681385379,1,0.970742052275321,0.959778309676439,0.93548020749594,0,NA,0,0,0
"HD",0.995237330265488,0.970742052275321,1,0.986807587331302,0.966711839511366,0,0,NA,0,0
"MS",0.989111942612847,0.959778309676439,0.986807587331302,1,0.955038666827338,0,0,0,NA,0
"PD",0.963944339470131,0.93548020749594,0.966711839511366,0.955038666827338,1,0,0,0,0,NA
