"","AD","CON","HD","MS","PD","F","M","100","104","18","21","24","31","32","35","37","39","40","41","42","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72.4","72","73","74","75","76","77","78","79","80.7","80","81","82.4","82","83","84","85","86","87","88","89","90","91","92","93","94","95","97","98","106","22","26","28","38","43","83.6","cortex_brain","substantia_nigra_brain","brain","GSE33000","GSE26927","GSE108000","GSE43490","GSE20292","GSE20164","GSE20333","AD","CON","HD","MS","PD","F","M","100","104","18","21","24","31","32","35","37","39","40","41","42","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72.4","72","73","74","75","76","77","78","79","80.7","80","81","82.4","82","83","84","85","86","87","88","89","90","91","92","93","94","95","97","98","106","22","26","28","38","43","83.6","cortex_brain","substantia_nigra_brain","brain","GSE33000","GSE26927","GSE108000","GSE43490","GSE20292","GSE20164","GSE20333"
"AD",1,0.374936399570834,0.64387323751265,0.393168761365436,0.416334042398194,0.743059763985249,0.582001047687248,0.582176928410954,0.432891893478908,0.17741426595128,0.275938826879894,0.438528846589902,0.0445471734311403,0.366637649535089,0.440305476980704,0.41406834580751,0.441950038936154,0.450986660657947,0.400713086681861,0.696169222858001,0.462613499048897,0.435375326508243,0.423032869560139,0.456930887606214,0.512552337627146,0.605987591978654,0.454209519022484,0.516736896800452,0.0951990559837624,0.391202442435183,0.468065144279883,0.373094065416061,0.493718258262398,0.278947780191376,0.197538045731794,0.475729781804921,0.515857305569696,0.167970551968684,0.41564270269297,0.23807609151316,0.502412283090621,0.468531643826757,0.526632320074703,0.542087524963583,0.473730718014623,0.689937690539721,0.421211349479858,0.737213587220861,0.204340064726718,0.545700537085159,0.612858907927736,0.569644049330332,0.541348525321172,0.58504162130466,0.750817492606597,0.771459940716644,0.540185179680594,0.249664148729,0.66599004279342,0.717817283617597,0.274192096130031,0.619014578368797,0.792691836942503,0.774535486300461,0.570106087824072,0.666685594909738,0.730578497878525,0.625824367570105,0.789066144263675,0.523720081092937,0.800133621258602,0.708921786521159,0.675587155226712,0.499746760360482,0.693313159145046,0.63562126183893,0.721859635559888,0.374024113701835,-0.417022310274878,0.0546441508401892,0.373680019757331,0.51216579082469,0.0138683692351625,0.255609797627765,0.914833894645252,0.390736398346863,0.375436621268529,0.750076225008223,0.420026265179425,0.0344794131751933,0.130514603411356,0.272779453310755,0.269729583012088,0.27366423071757,NA,0,0,0,0,0,0,0,0,0,0,0,0.00020892956132279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99840144432528e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37608705908355e-06,0,0,0.248564898263978,0,0,0,0,0,0,0.00411268319560509,0,0,0,0
"CON",0.374936399570834,1,-0.0710167092300123,0.866395011970226,0.928248445352083,0.872701138455512,0.96546737079798,-0.164950191950517,0.868734364244669,-0.00578019329948807,-0.0110010775389957,-0.109091644400672,0.116889612019746,-0.0727168931458837,-0.0466913441037313,-0.061671081501849,-0.0366158140564842,0.855156397849104,-0.124707022428363,0.767828191321375,-0.00320057073080127,0.885919185327556,0.876949233672797,0.894466103615339,-0.0243701203926782,-0.0822111373661007,0.835903702503446,0.813393720907781,0.185603648518499,0.908184181382912,0.964436963307328,0.958942335569925,0.854063629604944,0.933324747307564,0.855356971999326,0.938252743266024,0.806868622165555,0.179604625514644,0.106442965811755,0.154392117791167,0.728836767221776,0.0503939472678776,0.810836666082355,0.571184299028354,0.696194230312324,-0.0333832370110308,0.880572132283386,-0.0539895773093201,0.737330969752194,0.891752902719809,0.892230078642056,0.700297575004219,0.71506858729113,0.874666125055805,0.775585407056315,0.72141924116462,0.886463398878433,0.666421418651201,0.893381380307797,0.801800096869508,0.694655791670666,0.902122425384408,0.395574130754443,0.327933395411735,0.879292987413058,0.851755861598185,0.766173154777734,0.659233387414778,-0.121201518331905,0.63409928623756,-0.102784234939895,-0.172787295355495,0.825744576117994,0.598336840175334,-0.0626233769429149,-0.175705263157631,-0.114521972689601,0.153065190162351,0.17310362408775,0.0166875037408695,-0.13463356202203,-0.125400555503772,-0.0509515760675532,0.703563255588364,0.469541984288723,0.93273630972205,0.894027760091067,-0.0440931993877158,0.905632861363149,-0.0215054268416486,0.432268241463206,0.724778865006305,0.750793425126324,0.778085789435649,0,NA,3.30378124857589e-09,0,0,0,0,0,0,0.630594400281265,0.360050732652652,0,0,1.38045086472971e-09,0.00010164472633889,2.8117299355479e-07,0.00230911203434614,0,0,0,0.790028246789176,0,0,0,0.0425820149472722,7.32325311503246e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72609501972276e-05,0,0,0,0.00546759148297116,0,6.95793862037775e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83712751677945e-07,0,0,0,0,0.165008347245881,0,0,2.21833489046919e-05,0,0,0,0,0.000242414799446644,0,0.0735564072188823,0,0,0,0
"HD",0.64387323751265,-0.0710167092300123,1,-0.153488890497954,-0.0920122927407079,0.248449338364232,0.141247398356092,0.34587550944903,-0.141808175996948,0.477289867301957,0.620933361391202,0.61292359641491,0.530776033782503,0.64744797464024,0.788200433826182,0.771713592022418,0.869310252697465,-0.0622225593265811,0.529759056008255,0.328116530113734,0.821460448770317,-0.0579935578190169,-0.0202125307093254,-0.0513962833610235,0.814346807293347,0.905808546130766,0.158888830590796,0.248628470904202,0.505202690718025,-0.0573212960398686,-0.00590813214044853,-0.0873972834025047,0.162514995328919,-0.0175279847174456,-0.0997595658352135,0.107722157799741,0.260995338927833,0.394147656358124,0.690804381126305,0.584623609052737,0.162748224672715,0.670461554650608,0.168607635615282,0.340875956160965,0.190959365719017,0.79933164917219,0.022540092182337,0.69520310016143,-0.113557902669145,0.148927668186353,0.157292981389293,0.277100370880032,0.218936910774312,0.0294624205262268,0.178311806177127,0.341951197847275,0.0997671140621521,-0.0471504318343867,0.124025060043577,0.203329308953575,-0.0778974479326956,0.0586288282229456,0.535528412290426,0.602876181068899,0.039272751324221,0.0574959895188307,0.243017770570784,0.2503231648796,0.681429521592877,0.248134749770018,0.801420629536556,0.555382420246467,0.161681855551198,0.207357321966862,0.580103068255095,0.62337246686344,0.739034976567693,0.243625816238935,-0.268645330393902,0.341156042184735,0.432604331141657,0.560511916240596,-0.133219128302558,-0.0802181319391217,0.761177454577803,-0.0995250035751678,-0.152146894812715,0.922677819529248,-0.133316754393255,-0.0920443658440016,-0.0469986326014856,-0.0130134024611743,-0.0898653583523842,-0.116695335047376,0,3.30378124857589e-09,NA,0,1.68753899743024e-14,0,0,0,0,0,0,0,0,0,0,0,0,2.19918230293104e-07,0,0,0,1.37309786585327e-06,0.0926145229583819,1.87928844612717e-05,0,0,0,0,0,1.8168105015981e-06,0.623048379897919,3.21520587931445e-13,0,0.144740677741203,0,0,0,0,0,0,0,0,0,0,0,0,0.0607275870382398,0,0,0,0,0,0,0.0142193207027617,0,0,0,8.67697011144308e-05,0,0,8.55036041969015e-11,1.05091353885811e-06,0,0,0.00108088935549633,1.68980271886277e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31610286505202e-11,0,0,0,0,0,1.66533453693773e-14,9.14443255617403e-05,0.278940248068573,6.79456491070596e-14,0
"MS",0.393168761365436,0.866395011970226,-0.153488890497954,1,0.794699044665689,0.814969905002127,0.846137845630894,-0.102705261439899,0.926586101289932,-0.0941161195428881,-0.0932256274143867,-0.0922233727854257,-0.0582618204150267,-0.108897023844607,-0.0922921511087771,-0.119956188393092,-0.106857733314096,0.963139799358269,-0.0663859628670681,0.82240585954312,-0.0933870240091931,0.978805607712737,0.927439973332087,0.951303770460067,-0.0201495104031146,-0.165170527956976,0.846979333861987,0.835964256802349,0.00254319076319303,0.948102582634589,0.911625187053802,0.925700975338342,0.830231888448091,0.805632879580447,0.714965457238002,0.870307548036209,0.720358245143178,-0.0361693991510983,-0.0596721605067763,-0.0258565716050282,0.644682941993774,-0.105680486913711,0.757359792224773,0.305837477724925,0.460569422661219,-0.129940295748338,0.667131739357675,-0.125988873489983,0.52678613474499,0.701931096551857,0.757302667047243,0.45207895485699,0.487469218275135,0.913919713966195,0.837516504605789,0.640847313070064,0.711179010385248,0.465145028499299,0.84547265689901,0.721870743798775,0.521082070559511,0.881655758500755,0.261960313359404,0.141807892854697,0.811463639290764,0.866822210461355,0.660611008319046,0.462394083164897,-0.123067499276792,0.397278593646364,-0.140522829312632,-0.147518754276939,0.876401586289004,0.365405832067409,-0.0894779066235747,-0.168458719717474,-0.15869111243107,0.052663954505549,0.0536980197201585,-0.0270947710796952,-0.121964268412315,-0.109493091860048,0.1719572193971,0.513410932101636,0.404133383580959,0.776520679829127,0.990903166910436,-0.156766086393503,0.966995434510542,0.202660939664728,0.271870117350824,0.459923884009465,0.552351286473074,0.596554886316411,0,0,0,NA,0,0,0,0,0,4.21884749357559e-15,7.54951656745106e-15,1.48769885299771e-14,1.2268868680998e-06,0,1.4210854715202e-14,0,0,0,3.2184729992224e-08,0,6.88338275267597e-15,0,0,0,0.0936364117614095,0,0,0,0.832432760302764,0,0,0,0,0,0,0,0,0.00261146190443595,6.73385377680802e-07,0.0314358530953531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.70414851306123e-14,0,0,1.16279521953366e-05,7.79778680293219e-06,0.0241598082774099,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PD",0.416334042398194,0.928248445352083,-0.0920122927407079,0.794699044665689,1,0.895201670748673,0.924707252376037,0.0105358640937566,0.845564392553652,-0.114057253514714,-0.0449053382631064,-0.0351973072312433,-0.0896084716829833,-0.0553107633149498,-0.0554088942324886,-0.10916738488705,-0.0977795965365926,0.779135537851283,-0.055376097845557,0.700694243026398,-0.0363874923317811,0.792010888601466,0.759052829880441,0.807778592421502,-0.0321075313839761,-0.0916799433004983,0.687995837645226,0.658269473686258,-0.0663317588459982,0.772976542791424,0.888617466362081,0.847023026162072,0.678400543701717,0.788460719436528,0.726646237666441,0.821086955023831,0.670703857001209,-0.0556909458016247,-0.0496262451705382,-0.0247155035309411,0.755225673016018,-0.0494034830879478,0.765949576264475,0.651270372817349,0.763250519199614,-0.0626796813653792,0.945403805755159,-0.0268826986218066,0.793818801533327,0.91681113994381,0.92095795690113,0.771560765329674,0.813160102617714,0.827618034445694,0.782721243305184,0.782616178747703,0.942127255114622,0.742789581558766,0.919793790596977,0.865879548402221,0.786313690751309,0.917295206020415,0.519396570086399,0.467672091277119,0.924639420757216,0.879654874334249,0.859823498605001,0.765656732782121,-0.0323919760770059,0.731756925980453,-0.0374061520749272,-0.0367682552751588,0.760502806120206,0.703635768410687,0.0226662377530732,-0.0755383656345051,-0.0672657551305917,0.106282696459184,-0.0408461802900121,-0.0746172985964523,-0.0627800205715258,-0.073646700170447,0.0369977798080032,0.790563547054654,0.395379803694422,0.996298278263594,0.801109143184122,-0.0739340347233964,0.835559182228932,0.0601593007046747,0.531164576960706,0.802570921335662,0.838568433238325,0.861251340688919,0,0,1.68753899743024e-14,0,NA,0,0,0.380724931853195,0,0,0.000185630221567923,0.00339871794569913,8.01581023779363e-14,4.12198718402479e-06,3.96291855953024e-06,0,4.44089209850063e-16,0,4.01541496763969e-06,0,0.0024594980896735,0,0,0,0.00754247733137881,2.1094237467878e-14,0,0,3.30251856972552e-08,0,0,0,0,0,0,0,0,3.53780163941941e-06,3.6082996146547e-05,0.0397310626872205,0,3.91123916241298e-05,0,0,0,1.79113058607072e-07,0,0.025291228592655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00702671178673842,0,0.00185123902873197,0.00221344418812697,0,0,0.0592986667191133,3.1048896786956e-10,2.11211821365964e-08,0,0.000674748102770684,5.08384001562945e-10,1.71190500886098e-07,8.493952208255e-10,0.00207623577520155,0,0,0,0,7.30147720062746e-10,0,5.45649144978455e-07,0,0,0,0
"F",0.743059763985249,0.872701138455512,0.248449338364232,0.814969905002127,0.895201670748673,1,0.950371129798706,0.204372313636797,0.840164813464489,0.0462096694979238,0.135261743298104,0.173128346720098,0.0419014643906943,0.15127208292063,0.195271014541041,0.142436767352908,0.168207315809658,0.828905029336507,0.147987059631349,0.880078291451647,0.215646716502928,0.833022597278637,0.808139401541477,0.849422765908384,0.250718968896592,0.217342558474667,0.77990780859284,0.791150992142659,0.0751824199896483,0.805681155905511,0.896905813998349,0.834858112025056,0.789637864374345,0.757833062149776,0.647053553278286,0.869353350779584,0.783202444894568,0.079256856534343,0.192869079480975,0.140007801471692,0.758899728694012,0.19947400722875,0.813836138713143,0.678619824046527,0.724607050874029,0.269714805264357,0.847033257986297,0.282573467775024,0.65374518117383,0.910449116133771,0.944977703807037,0.786590737873425,0.799098473229553,0.900966551894134,0.92157467507578,0.907526674956138,0.913907369220779,0.632425645118053,0.970882224351492,0.942648548948604,0.672429676703208,0.954182206663123,0.696251641926495,0.628705009619049,0.914813198532146,0.947310411933302,0.930319454641726,0.799794128182067,0.291243775231118,0.71823633679944,0.312464933673435,0.236815157768444,0.898888878101065,0.697963165685331,0.296799166513346,0.196814605326283,0.247098153743608,0.240115294463519,-0.166508696376083,0.0041909222149057,0.0960075780909792,0.150918454566696,0.0403569405408518,0.661428685792125,0.730289242982723,0.882035983598765,0.813018563926975,0.286083128264389,0.843052614132068,0.0815520070105823,0.381179845579745,0.673192508345976,0.706185636820259,0.723889045781095,0,0,0,0,0,NA,0,0,0,0.000119820213242638,0,0,0.00048747305503527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75926845208596e-10,0,0,0,0,0,0,0,0,3.99646982174318e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727338854703729,1.33226762955019e-15,0,0.000782572622027411,0,0,0,0,0,0,1.07500675028405e-11,0,0,0,0
"M",0.582001047687248,0.96546737079798,0.141247398356092,0.846137845630894,0.924707252376037,0.950371129798706,1,-0.000625640963373363,0.859070032172011,0.0517649593152657,0.0861273386975051,0.045820960542655,0.134389498641886,0.0564363708560679,0.107163678937329,0.087174645537474,0.128977674788432,0.852849647271421,0.0138629896056734,0.852030592353723,0.15351022983004,0.87991819981295,0.866297710275447,0.886964190517215,0.145129142571014,0.118555282984583,0.850144810608078,0.849071983388554,0.205998538889593,0.885028878237708,0.957213032526778,0.925582275319338,0.865671098322582,0.884119880015326,0.803392722570657,0.93928819083056,0.834317460014418,0.201523052052048,0.21486763381742,0.221372769890576,0.79267367927408,0.170924879040295,0.857951367515404,0.651312273207287,0.752146119644967,0.15235592323128,0.893140429979907,0.142674026341598,0.696584985021995,0.922196890660767,0.938758826870653,0.766937730457662,0.775345335404966,0.902707715453063,0.863901567949104,0.831835727476291,0.91806608992678,0.646762871500925,0.952125785710388,0.881292143275851,0.677577420957675,0.945561526114739,0.555720873257942,0.506602431876749,0.922719942751274,0.904988835981541,0.859033776027094,0.738835128081687,0.0961912454193494,0.707965376324576,0.118388980518585,0.0290032889906237,0.884968928515914,0.653510812242526,0.11615573365709,0.0170960246628922,0.0948375969926087,0.21173273793931,0.0349877708104504,0.0598971364172302,-0.00085400759725783,0.0445227321923337,-0.0402355858176563,0.68626456538794,0.651403756922805,0.920794307217415,0.865091770891861,0.16997802453963,0.886992616541024,-0.0121182862523265,0.447016470474331,0.711131625366335,0.728037819430196,0.754274128055777,0,0,0,0,0,0,NA,0.958488414146548,0,1.63621356494836e-05,7.03437308402499e-13,0.000136678247494082,0,2.61438125659375e-06,0,3.69260177990327e-13,0,0,0.248748496275503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88178419700125e-16,0,0,0.0158021945429483,0,0,0,0.154905182191098,2.66453525910038e-15,0,0.00359446576004996,6.11170138498096e-07,0.943358242571574,0.0002106156806152,0.000811688633378882,0,0,0,0,0,0,0.313346678626586,0,0,0,0
"100",0.582176928410954,-0.164950191950517,0.34587550944903,-0.102705261439899,0.0105358640937566,0.204372313636797,-0.000625640963373363,1,-0.0405199636213903,0.0248625438569102,0.0741424777359057,0.396371132881842,-0.252331901420727,0.214120009132014,0.239500292613351,0.191708150313522,0.159919474576401,-0.0717793298772284,0.288623201300533,0.105394493087664,0.184659557441964,-0.123307334532054,-0.148969992020476,-0.10007699519287,0.286977892398618,0.428908980781872,-0.140976300941631,-0.102919066663656,-0.31702201421296,-0.188647590553897,-0.0858578225804737,-0.182845957243271,-0.144935490405501,-0.258794337252169,-0.296800659985586,-0.153199688247741,-0.0896120665634345,-0.163459618591981,0.0151486550963429,-0.164601921531063,0.0399291142695878,0.111576105774984,0.00906458338477127,0.231632768473545,0.0868883825419379,0.418829876030553,0.0193491237713288,0.543576913561991,-0.0717587153889763,0.067576138380515,0.123518462260474,0.170091163421698,0.206206507439491,0.0221783462643375,0.259024316732012,0.29014044729337,0.102263061293854,-0.00558863707325652,0.145340670350937,0.261349141988872,0.0218377458810864,0.105414469008961,0.455770416585115,0.541451348868716,0.101935118832984,0.186355718382895,0.297341776924618,0.323795575335404,0.692249137132395,0.2121871898257,0.618053562665943,0.75544316290805,0.111187641139075,0.230754521595834,0.6076703961325,0.693376166576492,0.516033004027208,0.118996476908647,-0.496438244086928,-0.0934091483832822,0.485267527140363,0.488720102135803,0.161731028541667,-0.00536475625188611,0.351211849611589,-0.00818687058248947,-0.148209795344434,0.462020930778436,-0.103137424522415,0.119520678906475,-0.0268064816814578,0.0275251616624227,-0.00939483199413948,-0.0154028181255808,0,0,0,0,0.380724931853195,0,0.958488414146548,NA,0.000744983537888988,0.0385674078152733,6.54027276780766e-10,0,0,0,0,0,0,2.23913376729001e-09,0,0,0,0,0,0,0,0,0,0,0,0,8.29558643999917e-13,0,0,0,0,0,7.99360577730113e-14,0,0.207534818977456,0,0.000889751474161038,0,0.450760046558408,0,4.40758540776187e-13,0,0.10741712321725,0,2.262920073548e-09,1.81816697253367e-08,0,0,0,0.0649842081341794,0,0,0,0.641964841406855,0,0,0.0692140505155021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66133814775094e-15,0,0,0,0.655361002264888,0,0.495793893970713,0,0,0,0,0.0257089051519213,0.0219978519239845,0.434434702293408,0.200010382797349
"104",0.432891893478908,0.868734364244669,-0.141808175996948,0.926586101289932,0.845564392553652,0.840164813464489,0.859070032172011,-0.0405199636213903,1,-0.101187044915874,-0.0906005212136876,-0.0740795641968831,-0.100034339035582,-0.0971780616828776,-0.0749357955989419,-0.139170354242655,-0.114351255123772,0.907498337594007,-0.0844568096489552,0.803195659606474,-0.0839363172336885,0.920162332544476,0.888121071809407,0.937322689575046,-0.0736517332585502,-0.140128638735625,0.786453290442942,0.760410574620576,-0.077306875678312,0.902827088628078,0.914011251040531,0.921937756787926,0.785256373178963,0.750651763354937,0.731781744764079,0.844033178631284,0.746885850927854,-0.0829972771742932,-0.102780328679938,-0.0495886094837723,0.673598628925699,-0.11148010221544,0.756452058864151,0.342064792559153,0.506597126174883,-0.111101820000561,0.694744409438818,-0.100636474316228,0.571154497185038,0.722545994017357,0.777126974901558,0.49879312499864,0.51989702468802,0.945295510788145,0.874608440836776,0.694700421456932,0.745371485132166,0.505231130246248,0.894130754399046,0.790636957761289,0.557120234328523,0.904567564442873,0.32791453508226,0.205958443816918,0.845724181044697,0.919866124762109,0.733495630533647,0.524751005397972,-0.0839863606846293,0.452893195404775,-0.0942270193528522,-0.0824507548834734,0.871775573829022,0.406042241600324,-0.0361785766958922,-0.119255775765522,-0.11846792282132,0.059165094987921,0.00307983348420383,-0.0702428131195391,-0.0911939860516122,-0.0934223142739327,0.0477864524369597,0.55352940943421,0.413936056084811,0.825658173159144,0.932736352476283,-0.135387634340074,0.967230867909255,0.0594395526906082,0.298801448077644,0.488507220200385,0.597068138606462,0.633273203391303,0,0,0,0,0,0,0,0.000744983537888988,NA,0,4.2632564145606e-14,6.76147360323398e-10,0,4.44089209850063e-16,4.28971969057557e-10,0,0,0,1.93622895494627e-12,0,2.64366306623742e-12,0,0,0,8.47151682137337e-10,0,0,0,1.18509868585193e-10,0,0,0,0,0,0,0,0,4.61497506876185e-12,0,3.65786708669269e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56594745451366e-12,0,3.99680288865056e-15,6.3646865555711e-12,0,0,0.00260489797817387,0,0,8.36776604451472e-07,0.797773973042424,4.88280793575768e-09,2.88657986402541e-14,6.66133814775094e-15,6.95287045520132e-05,0,0,0,0,0,0,7.4410983552653e-07,0,0,0,0
