"","cortex_brain","substantia_nigra_brain","brain","cortex_brain","substantia_nigra_brain","brain"
"cortex_brain",1,1.00000000000001,0.999999999999997,NA,NA,0
"substantia_nigra_brain",1.00000000000001,1,0.999999999999997,NA,NA,0
"brain",0.999999999999997,0.999999999999997,1,0,0,NA
