"","AD","CON","HD","MS","PD"
"A2M",2.50052518574377,2.45099644624484,2.48476214309456,2.59998205235833,2.59245493479298
"A4GALT",1.98340688658662,1.86759125438247,2.01453152939694,1.97931583861872,1.93308701557892
"A4GNT",1.7811331441698,1.78580162272753,1.78400754778093,1.77459553208714,1.72945998766246
"AAAS",1.92308185940895,1.91753853788348,1.95299818758457,1.91412803403787,1.98757436422102
"AADAC",1.55255544296729,1.57210418991157,1.55810580351164,1.48113444105993,1.53043767458705
"AAMP",2.21432191575338,2.2202735870053,2.25328796094729,2.17777497748206,2.23063547183883
"AARS",2.46919305328058,2.47727859875593,2.46493785078133,2.44969887190046,2.49010680299686
"AASDHPPT",2.12693726809283,2.14563601778145,2.14402020282687,2.12699869327767,2.02442169459517
"AASS",1.68971880243585,1.66565014199107,1.63907242925177,1.68186545775369,1.6580103785234
"AATF",2.20943237706327,2.15377695945335,2.22499777336241,2.25341291403427,2.24068482941194
"ABAT",2.03082555309576,2.08444545665177,2.01264193235765,2.00158355962433,1.97715123716172
"ABCA1",2.44500846907114,2.27090649018151,2.44417026170065,2.57657006263818,2.39026485843744
"ABCA3",2.29814553417816,2.31401356143512,2.29490047974116,2.26743995973725,2.27156146446694
"ABCA4",1.64340114659096,1.62729864259245,1.65456904372115,1.64779416214162,1.68521956518551
"ABCA7",1.85893436906898,1.79782508428215,1.87214901303101,1.84478454721416,1.80416421574175
"ABCA8",2.19726054533146,2.11623152155499,2.21365303383777,2.11101983502168,2.38066289457915
"ABCB1",2.03477861769953,2.01062129241931,2.02146761639461,2.12311739390249,2.14401156837693
"ABCB11",1.53822697611817,1.51408931332003,1.54391941334455,1.55746958593572,1.54759216275386
"ABCB4",1.63219196357314,1.62553236360393,1.61445713059238,1.66752191092297,1.63093585227728
"ABCB6",2.03922939263666,2.0100257128519,2.04945006899107,2.02304681867572,2.00206818734189
"ABCB7",2.08312961102663,2.01878255213833,2.09455983575037,2.15250959395688,1.99969361144502
"ABCB8",1.7531472486871,1.76156205671558,1.78081263887833,1.71004621019058,1.68537717856353
"ABCB9",1.6840754004573,1.72168828190452,1.68983357182295,1.71343874424769,1.62333551399914
"ABCC1",1.62393857262947,1.63457192275823,1.60668384320074,1.64777084473648,1.66180356391379
"ABCC2",1.68141860614193,1.65409568372907,1.68501176255313,1.67776272734536,1.68857547851825
"ABCC3",1.71306828909053,1.65868891794484,1.68256629275406,1.73935767139616,1.83665874533152
"ABCC4",1.88652939847357,1.76840337033008,1.91839569270239,1.92801466818998,1.89191656414956
"ABCC5",2.25603554036963,2.23355983075648,2.24623544821574,2.29774196342173,2.22609229381189
"ABCC6",1.59724954297938,1.60144074138082,1.58616521229367,1.58890890723749,1.59996474069216
"ABCC8",2.05670295178417,2.11919475617478,2.06643610449135,2.00222618037587,2.08427893489038
"ABCC9",1.69006819505678,1.62743622948674,1.67055049657264,1.79136921275385,1.67423437030855
"ABCD1",1.81329709386863,1.82316157913426,1.86515321139142,1.8051791337065,1.94990837659973
"ABCD3",2.08971672888925,2.05852964943599,2.08759273807528,2.02486420705236,2.06118691161146
"ABCD4",1.87745440903462,1.86649937294554,1.91024932770439,1.90063926213311,1.88660049981073
"ABCE1",2.10353536370199,2.19193171335536,2.09052268671323,2.11179302918211,2.07544656714191
"ABCF1",2.26501898763408,2.28422023324588,2.26847617118765,2.26008746059716,2.23769194146029
"ABCF2",1.82692735857259,1.83061323392709,1.84686080544898,1.81064991475833,1.80839664161961
"ABCG1",2.11049507333262,2.09512292069585,2.09336694833711,2.05839943087128,2.14217156844384
"ABCG2",2.04001032400823,2.06234756348161,2.01524912629878,2.00670412137636,2.08987574240595
"ABCG4",2.01075246174448,2.04349574638754,2.02440596441674,1.9832031768384,1.85275876244484
"ABCG5",1.71038266758159,1.7062803607475,1.70035815851937,1.73450103119709,1.62097203998117
"ABHD2",1.77637720779927,1.79729541827045,1.77531891512536,1.74690051190012,1.69659329964857
"ABI1",1.84713860477453,1.84336285964481,1.87113474152583,1.88347934583884,1.79426326287539
"ABI2",1.97334421535694,2.00864686990904,1.96446973875412,2.01331151468414,1.97894704801388
"ABL1",2.00040609642367,1.92085197917136,2.05480344150453,1.99270720052892,2.14090159818173
"ABL2",1.71325112908192,1.71156632547043,1.72652490630834,1.68388508278082,1.77005480872804
"ABLIM1",2.05845869987995,1.9904247745262,2.01935529028429,2.09808872480696,1.9969728376659
"ACAA1",2.27500626134823,2.2466870280755,2.29511407716763,2.26337057894736,2.28804533119209
"ACAA2",2.13272560851796,2.10287387606342,2.14249415585246,2.13763516867841,2.11066246200253
"ACACA",2.17303596035415,2.21072371696728,2.14058399293915,2.14700544545987,2.1455587181359
"ACACB",2.17026124324089,2.12108215852191,2.16317413825226,2.16904564381607,2.17815304486602
"ACAD8",1.78914137661531,1.76211069573125,1.78859797750924,1.7970048600103,1.82864813059986
"ACADL",1.80493213028019,1.72654776212664,1.80110064347718,1.75554568412977,1.76520771836455
"ACADM",2.18561506159271,2.18819251459104,2.18353640353469,2.23063982044869,2.11105417750884
"ACADSB",1.55139206686209,1.61703857230989,1.54411231890325,1.51996822982052,1.55841248883457
"ACADVL",2.51437303264769,2.45951348928725,2.48763540066338,2.52089212411407,2.51186642323489
"ACAT1",2.30748995691843,2.31513282395471,2.30375315446164,2.29645305469651,2.22830751010992
"ACBD3",2.21030169978116,2.2429303914238,2.2100571043135,2.23573469196087,2.09680912863525
"ACE2",1.66799792425014,1.69833158161889,1.66014937172577,1.68124138411597,1.58369028478081
"ACHE",1.83166248905444,1.85777784831231,1.87351561331185,1.84185220693394,1.5753847505546
"ACLY",2.16363490071703,2.20012593885407,2.1283617043137,2.16066213272177,2.08339917055044
"ACO1",2.322923339025,2.2703391016919,2.34696892466808,2.3547651678162,2.26179432470696
"ACO2",2.17357269171371,2.19141781307056,2.15840868718373,2.14553001230347,2.11296601224051
"ACOT7",2.24546273587741,2.37400969505448,2.21694828413161,2.17701099056237,2.01825136391692
"ACOT8",2.02885316171812,2.04407591127317,2.03582124426219,2.01317031299689,2.03144395362508
"ACOT9",1.96190830779832,1.94641147885795,1.94430227493671,1.94623714866648,1.88843729238955
"ACOX1",1.82978818477489,1.84178841047697,1.83397737545265,1.80685425842085,1.82202025284364
"ACOX2",1.99377957513408,1.90198919469653,1.98864210941956,2.00387159648605,1.98046399597723
"ACOX3",1.89663222664411,1.86929514935299,1.89420718257782,1.88569270454271,1.92365357554805
"ACP1",2.1087311073526,2.22146695785658,2.10374587364826,2.11754301294625,2.07339962720471
"ACP2",1.98519465643248,2.08867351752716,1.96173409321353,1.96868315901587,1.96845345491757
"ACP5",1.66065419028576,1.62300829197286,1.66525178968059,1.67263584454612,1.74697311068451
"ACP6",2.00751809641048,1.96412502072223,1.99594325776686,2.01195962625339,2.03733542693568
"ACPP",1.61461701114126,1.59575392769453,1.63351054462953,1.67769789935253,1.62356545334014
"ACR",1.75506109210199,1.75880318162855,1.75710001268656,1.73104026189801,1.78420133086048
"ACRV1",1.84953081468728,1.8772738868889,1.84665859244824,1.8422496833434,1.81693152532641
"ACSBG1",2.44742574896254,2.34557556036444,2.42320865409203,2.42952602235623,2.36954626518218
"ACSL1",2.07992385400173,2.01267342324931,2.0660786756437,2.09285677853156,2.10871936629635
"ACSL3",1.99821428383027,2.01555515701465,1.97115333454246,1.95509475973678,2.02075747182841
"ACSL4",2.03529610538944,2.06730169746024,2.06746158558403,2.06921924395435,2.01643563205357
"ACSL5",1.75166868122972,1.63918131011389,1.73456049653207,1.76639216045428,1.74453662465468
"ACSM3",1.56207573031376,1.56335328011435,1.54389953109747,1.53838845512356,1.56585299493204
"ACTA2",2.48185393220389,2.53058077716711,2.58678443643997,2.57247823326911,2.68301969019098
"ACTB",2.66502070065097,2.664185021606,2.71874807873689,2.70431959431784,2.71286364483511
"ACTG2",1.93220308055093,1.97824255720689,1.99648816763696,2.03707428614743,2.08705102469793
"ACTL6A",2.03904641543762,1.92764957372903,2.07003648501221,2.10530099280293,2.06772606656537
"ACTL6B",1.93471009195024,2.01548421853294,1.94516955332117,1.93875215780424,1.78135621746068
"ACTL7A",1.6377747555165,1.625274916385,1.62568785556566,1.62675396640399,1.56838556993176
"ACTN1",2.07972022478684,2.03282390742895,2.09178351045201,2.16400224259641,2.19750532376881
"ACTN2",1.64028043599634,1.71928736626936,1.61268144928976,1.67008000227571,1.82392145407652
"ACTN3",1.71578690135485,1.72937416479197,1.71414732876532,1.70003838919754,1.68654976661417
"ACTN4",2.28506004242837,2.26422606058882,2.31530032604697,2.27282085184893,2.48759676769766
"ACTR1A",2.27623141905395,2.28085903660152,2.24701351019007,2.24370797624912,2.26934837503098
"ACTR1B",2.18983797116731,2.23941586162618,2.19045547652429,2.11943104433591,2.23798672442119
"ACTR2",2.11294615677013,2.20961390809364,2.05656112655378,2.09873683633547,2.05557345142061
"ACTR3",2.16162465671854,2.15374990358358,2.13664956715962,2.21131480593185,2.08465617458069
"ACTR3B",1.62835063177538,1.74985671335378,1.62837542498313,1.5776127935081,1.59974407932787
"ACVR1",2.10745088433942,2.06862149200276,2.10656752415092,2.11527931378243,2.12935696260908
"ACVR1B",2.05955495175079,2.05770477874791,2.05694062116422,2.09584411070025,2.01133850485842
"ACVR2A",1.90420821329589,1.9096250265472,1.90133042640525,1.89808699818377,1.87468829255457
"ACVR2B",2.00755372628424,1.97370416401906,2.02450332898696,2.04988162730989,2.02573850655071
"ACVRL1",1.96623126377368,1.92274806304095,2.01927101963395,2.00681330962117,2.04427556804045
"ACYP1",2.06864703758574,2.08194221549569,2.08300032058232,2.03354250456884,2.02101302947584
"ACYP2",1.97973762528331,2.03836501406228,1.99996303321653,1.95743525085879,1.94276150886046
"ADA",1.91874118852099,1.87109910520625,1.90911125638941,1.80474825833147,1.84046955859124
"ADAM10",1.87170263322492,1.87460475598404,1.81477408888305,1.89135845205699,1.88665939590838
"ADAM11",1.97943071035803,2.04974352048417,1.99087201925175,1.93469497093865,1.96211737891063
"ADAM12",1.64418929801137,1.56018964261928,1.57070882939351,1.61173366815374,1.69612171945719
"ADAM15",2.16041256206099,2.15065465431865,2.14830171999811,2.09642783482139,2.22532384987852
"ADAM17",1.78655447459094,1.76659325249635,1.78244155172287,1.80541290889908,1.8232644996703
"ADAM18",1.94872147011274,1.94705607694272,1.95118997616833,1.94247418948199,1.92995684018242
"ADAM19",1.66743535145951,1.66150966687857,1.65880780505063,1.70751681543731,1.729452878695
"ADAM2",1.63044580176322,1.62169370736652,1.62772704021864,1.63638108186234,1.64002447323761
"ADAM20",1.69756938427244,1.70417995689957,1.70592903218342,1.79350909514378,1.72642794023076
"ADAM21",1.80816255165541,1.83439558514029,1.80702661714794,1.80472536353447,1.8331815356536
"ADAM22",1.933129580999,1.96985436937305,1.89460236802329,1.93892713884454,1.83140247560764
"ADAM23",2.0553134340221,2.11486973662966,2.03931191357999,2.03740961786433,1.95559132087762
"ADAM28",1.69416135367843,1.69047426912593,1.7017165432437,1.69081929179754,1.69955034554187
"ADAM30",1.75976553738407,1.76809290221909,1.76565445661716,1.71798953816531,1.78898458586758
"ADAM8",1.68967464907796,1.69151112610892,1.71935445532315,1.71187130440664,1.77978425989839
"ADAM9",1.82953377359468,1.84676227897657,1.8181504188788,1.81840043236576,1.69519955400144
"ADAMDEC1",1.54207627092316,1.53521630774165,1.5630046726805,1.5430001632912,1.53074179130145
"ADAMTS1",2.11820959622112,2.03425880562185,2.07141876997899,2.07867645984374,2.20455493488087
"ADAMTS12",1.76782174305563,1.76125936224685,1.763810768708,1.7648910055061,1.75982239243286
"ADAMTS13",1.81369848765212,1.79132969422058,1.83016210334831,1.69364949007425,1.81330365558788
"ADAMTS2",1.72156042467083,1.68393026063782,1.73029439634986,1.73260413975636,1.66534621062003
"ADAMTS6",1.70486632346226,1.7072916590959,1.69196905114702,1.7029258687154,1.73254175585918
"ADAMTS8",1.94982300631054,2.05167340578674,1.93859449090853,1.83175473282456,1.9630594424106
"ADAMTS9",1.98660503221674,1.97880027200313,1.99967414112678,2.05643457873329,2.03313474533737
"ADAR",2.51009540136565,2.51995951068623,2.50615844238694,2.52581302983419,2.53064520667019
"ADARB1",1.83277785519751,1.83663872735752,1.81906962437619,1.80904302079524,1.68065472233938
"ADARB2",2.03171566422428,1.95663362037659,2.05602803053726,1.97197974471738,2.01041019295889
"ADAT1",1.84203171248187,1.85732037259488,1.8152419916428,1.76341335795452,1.93284335065824
"ADCY3",2.36689315806094,2.36139855540669,2.36371110662116,2.31271545671802,2.31276264869256
"ADCY6",2.15011367567341,2.16236642072732,2.1756880232314,2.13198793950962,2.20994611143376
"ADCY7",1.78771902584987,1.76451219868219,1.79940248233247,1.84625322951148,1.90640658630592
"ADCY8",2.04036114044546,1.97912972753929,2.05822188813981,2.07576519353686,1.96172266777728
"ADCY9",2.01407629987907,1.97859378821106,2.02568720656081,2.02282742525562,2.05691167382603
"ADCYAP1",1.76746021351594,1.93546532309962,1.80926055881573,1.82749545904583,1.90422162931518
"ADCYAP1R1",1.55110619165788,1.54041240933293,1.5529706080942,1.54310385895934,1.55871053537375
