"","cortex_brain","substantia_nigra_brain","brain"
"A2M",2.493397057261,2.493397057261,2.493397057261
"A4GALT",1.953728680678,1.953728680678,1.953728680678
"A4GNT",1.77986898839455,1.77986898839455,1.77986898839454
"AAAS",1.93057640981134,1.93057640981134,1.93057640981134
"AADAC",1.55437033207111,1.55437033207111,1.55437033207111
"AAMP",2.22284806009706,2.22284806009706,2.22284806009706
"AARS",2.47079322398366,2.47079322398366,2.47079322398366
"AASDHPPT",2.13005733095099,2.13005733095099,2.13005733095099
"AASS",1.67059075666466,1.67059075666466,1.67059075666466
"AATF",2.20067687454004,2.20067687454003,2.20067687454004
"ABAT",2.03799995961756,2.03799995961756,2.03799995961756
"ABCA1",2.39902906682099,2.39902906682099,2.39902906682099
"ABCA3",2.29898451192876,2.29898451192877,2.29898451192877
"ABCA4",1.64357514414117,1.64357514414117,1.64357514414117
"ABCA7",1.84047291387423,1.84047291387422,1.84047291387422
"ABCA8",2.18315444966641,2.18315444966641,2.18315444966641
"ABCB1",2.03573991512923,2.03573991512923,2.03573991512923
"ABCB11",1.53399664609087,1.53399664609086,1.53399664609087
"ABCB4",1.62847987879911,1.62847987879911,1.62847987879911
"ABCB6",2.03010565642432,2.03010565642432,2.03010565642432
"ABCB7",2.0660793590939,2.0660793590939,2.0660793590939
"ABCB8",1.75516486845139,1.75516486845139,1.75516486845139
"ABCB9",1.69409379854538,1.69409379854538,1.69409379854538
"ABCC1",1.62680047322629,1.62680047322629,1.62680047322629
"ABCC2",1.67457246356388,1.67457246356388,1.67457246356388
"ABCC3",1.69961236016231,1.69961236016231,1.69961236016231
"ABCC4",1.8617232286147,1.8617232286147,1.8617232286147
"ABCC5",2.24816564191071,2.24816564191071,2.24816564191071
"ABCC6",1.59594536619091,1.59594536619091,1.59594536619091
"ABCC8",2.07516018873745,2.07516018873745,2.07516018873745
"ABCC9",1.67264469921441,1.67264469921441,1.67264469921441
"ABCD1",1.83356591710366,1.83356591710366,1.83356591710366
"ABCD3",2.07554699892459,2.07554699892459,2.07554699892459
"ABCD4",1.88259025751753,1.88259025751753,1.88259025751753
"ABCE1",2.12495358315682,2.12495358315682,2.12495358315682
"ABCF1",2.26942247171876,2.26942247171876,2.26942247171876
"ABCF2",1.83012070395792,1.83012070395792,1.83012070395792
"ABCG1",2.101772060487,2.101772060487,2.101772060487
"ABCG2",2.04244101437558,2.04244101437559,2.04244101437559
"ABCG4",2.01272905859247,2.01272905859246,2.01272905859246
"ABCG5",1.70353498290179,1.70353498290179,1.70353498290179
"ABHD2",1.77623541328246,1.77623541328246,1.77623541328246
"ABI1",1.84982405406909,1.84982405406909,1.84982405406909
"ABI2",1.98395494611691,1.98395494611691,1.98395494611691
"ABL1",1.99598411398775,1.99598411398775,1.99598411398775
"ABL2",1.71704728748999,1.71704728748999,1.71704728748999
"ABLIM1",2.02992618490734,2.02992618490734,2.02992618490734
"ACAA1",2.27109936182155,2.27109936182154,2.27109936182154
"ACAA2",2.12523121145215,2.12523121145216,2.12523121145216
"ACACA",2.17442201753453,2.17442201753453,2.17442201753453
"ACACB",2.15522439645178,2.15522439645178,2.15522439645178
"ACAD8",1.78391200704941,1.78391200704941,1.78391200704942
"ACADL",1.77717082277419,1.77717082277419,1.77717082277419
"ACADM",2.18413967261586,2.18413967261586,2.18413967261586
"ACADSB",1.56738846348004,1.56738846348004,1.56738846348004
"ACADVL",2.49360963094232,2.49360963094232,2.49360963094232
"ACAT1",2.3040095488339,2.30400954883391,2.30400954883391
"ACBD3",2.21460646492886,2.21460646492886,2.21460646492886
"ACE2",1.67110595070978,1.67110595070978,1.67110595070978
"ACHE",1.83393584566491,1.8339358456649,1.8339358456649
"ACLY",2.16239837336022,2.16239837336022,2.16239837336022
"ACO1",2.3110534379493,2.3110534379493,2.3110534379493
"ACO2",2.17085702711883,2.17085702711883,2.17085702711883
"ACOT7",2.26036202690482,2.26036202690483,2.26036202690483
"ACOT8",2.03392044770453,2.03392044770453,2.03392044770453
"ACOT9",1.94914550162379,1.9491455016238,1.9491455016238
"ACOX1",1.83244427551566,1.83244427551567,1.83244427551567
"ACOX2",1.96642660829171,1.96642660829171,1.96642660829171
"ACOX3",1.88929477379269,1.88929477379269,1.88929477379269
"ACP1",2.13831099963345,2.13831099963346,2.13831099963346
"ACP2",2.00816933249999,2.00816933249999,2.00816933249999
"ACP5",1.65621256723572,1.65621256723572,1.65621256723572
"ACP6",1.99471950056963,1.99471950056962,1.99471950056963
"ACPP",1.61674435258519,1.61674435258519,1.61674435258519
"ACR",1.75690649204416,1.75690649204416,1.75690649204416
"ACRV1",1.85468738549488,1.85468738549488,1.85468738549488
"ACSBG1",2.40842130659155,2.40842130659155,2.40842130659155
"ACSL1",2.06026184500921,2.0602618450092,2.06026184500921
"ACSL3",1.99676405653705,1.99676405653705,1.99676405653704
"ACSL4",2.05153737147553,2.05153737147553,2.05153737147553
"ACSL5",1.71660693630612,1.71660693630612,1.71660693630612
"ACSM3",1.5577978753387,1.5577978753387,1.5577978753387
"ACTA2",2.5323836199946,2.5323836199946,2.5323836199946
"ACTB",2.68017126733344,2.68017126733344,2.68017126733344
"ACTG2",1.97201541701645,1.97201541701645,1.97201541701644
"ACTL6A",2.01852008038061,2.01852008038061,2.01852008038061
"ACTL6B",1.95157518339703,1.95157518339703,1.95157518339703
"ACTL7A",1.6274307836246,1.6274307836246,1.6274307836246
"ACTN1",2.07955708326545,2.07955708326545,2.07955708326545
"ACTN2",1.66881876631085,1.66881876631085,1.66881876631085
"ACTN3",1.7169162502959,1.7169162502959,1.7169162502959
"ACTN4",2.2956738920984,2.2956738920984,2.2956738920984
"ACTR1A",2.26965978438086,2.26965978438086,2.26965978438086
"ACTR1B",2.20311212579746,2.20311212579746,2.20311212579746
"ACTR2",2.12527914102237,2.12527914102238,2.12527914102237
"ACTR3",2.15269710853839,2.15269710853839,2.15269710853839
"ACTR3B",1.65875899075454,1.65875899075454,1.65875899075455
"ACVR1",2.09783029314381,2.09783029314381,2.09783029314381
"ACVR1B",2.05771212095981,2.05771212095981,2.05771212095981
"ACVR2A",1.90324128933779,1.90324128933779,1.90324128933779
"ACVR2B",2.0044768089777,2.0044768089777,2.0044768089777
"ACVRL1",1.97083544084515,1.97083544084515,1.97083544084515
"ACYP1",2.0708993927324,2.0708993927324,2.0708993927324
"ACYP2",1.9972978660487,1.9972978660487,1.9972978660487
"ADA",1.89315256451792,1.89315256451792,1.89315256451792
"ADAM10",1.86295105855946,1.86295105855946,1.86295105855946
"ADAM11",1.99848956153843,1.99848956153843,1.99848956153843
"ADAM12",1.60677413500426,1.60677413500426,1.60677413500426
"ADAM15",2.1555074353469,2.1555074353469,2.1555074353469
"ADAM17",1.78302869274573,1.78302869274573,1.78302869274573
"ADAM18",1.94739417733414,1.94739417733414,1.94739417733414
"ADAM19",1.66946859097799,1.669468590978,1.66946859097799
"ADAM2",1.62824010210047,1.62824010210047,1.62824010210047
"ADAM20",1.70760143626088,1.70760143626088,1.70760143626088
"ADAM21",1.81659361483977,1.81659361483977,1.81659361483977
"ADAM22",1.9305766373156,1.93057663731561,1.9305766373156
"ADAM23",2.06266625705852,2.06266625705852,2.06266625705852
"ADAM28",1.69475062546597,1.69475062546597,1.69475062546597
"ADAM30",1.76278459579459,1.76278459579459,1.76278459579459
"ADAM8",1.70221526570656,1.70221526570656,1.70221526570656
"ADAM9",1.82421880537797,1.82421880537797,1.82421880537797
"ADAMDEC1",1.54374152648109,1.54374152648109,1.54374152648109
"ADAMTS1",2.08767941520534,2.08767941520534,2.08767941520534
"ADAMTS12",1.76456366209684,1.76456366209683,1.76456366209683
"ADAMTS13",1.80448625429395,1.80448625429394,1.80448625429395
"ADAMTS2",1.71008624657579,1.71008624657579,1.71008624657579
"ADAMTS6",1.70439234832961,1.70439234832961,1.70439234832961
"ADAMTS8",1.97124672822118,1.97124672822118,1.97124672822118
"ADAMTS9",1.99311695580869,1.99311695580869,1.99311695580869
"ADAR",2.51404175415349,2.51404175415349,2.51404175415349
"ADARB1",1.82157644469208,1.82157644469208,1.82157644469208
"ADARB2",2.01101180413297,2.01101180413297,2.01101180413297
"ADAT1",1.84198522178539,1.84198522178539,1.84198522178539
"ADCY3",2.3589599968052,2.3589599968052,2.3589599968052
"ADCY6",2.16107706853664,2.16107706853664,2.16107706853664
"ADCY7",1.792953864441,1.792953864441,1.792953864441
"ADCY8",2.02401450793125,2.02401450793125,2.02401450793125
"ADCY9",2.00910471613143,2.00910471613143,2.00910471613143
"ADCYAP1",1.83418208130904,1.83418208130904,1.83418208130904
"ADCYAP1R1",1.54844661690518,1.54844661690518,1.54844661690518
"ADD1",2.52569335787547,2.52569335787547,2.52569335787547
"ADD2",1.90847123617863,1.90847123617863,1.90847123617863
"ADD3",1.8594926404343,1.85949264043431,1.85949264043431
"ADH1A",1.72789742103589,1.72789742103589,1.72789742103589
"ADH1B",1.66495806987437,1.66495806987437,1.66495806987437
"ADH1C",1.43866987635298,1.43866987635298,1.43866987635298
"ADH5",1.9576722077714,1.9576722077714,1.9576722077714
"ADH6",1.83651783599693,1.83651783599693,1.83651783599693
"ADK",1.86841130224306,1.86841130224306,1.86841130224306
"ADM",2.33342262046163,2.33342262046163,2.33342262046163
"ADORA1",2.00001563686138,2.00001563686138,2.00001563686138
"ADORA2A",1.98387969466914,1.98387969466914,1.98387969466914
"ADORA2B",1.94411877940801,1.94411877940801,1.94411877940801
"ADORA3",2.16938190615746,2.16938190615746,2.16938190615746
"ADPRH",1.71285485316922,1.71285485316922,1.71285485316922
"ADRA1A",1.86831183457077,1.86831183457077,1.86831183457077
"ADRA1B",1.7778087975301,1.7778087975301,1.7778087975301
"ADRA1D",1.8168984714347,1.81689847143469,1.81689847143469
"ADRA2A",1.79106328702864,1.79106328702865,1.79106328702865
"ADRA2B",1.78167841480351,1.78167841480351,1.78167841480351
"ADRA2C",1.83120308963649,1.83120308963649,1.83120308963649
"ADRB1",1.62099717273383,1.62099717273383,1.62099717273383
"ADRB2",2.00479424285651,2.00479424285651,2.00479424285651
"ADRB3",1.62921567078834,1.62921567078834,1.62921567078834
"ADRBK2",1.76417332842914,1.76417332842914,1.76417332842914
"ADRM1",2.34821538148591,2.34821538148591,2.34821538148591
"ADSL",2.12762496506582,2.12762496506582,2.12762496506582
"ADSS",1.73634110308184,1.73634110308184,1.73634110308184
"AEBP1",2.3178644025269,2.3178644025269,2.3178644025269
"AES",2.50655628356959,2.50655628356959,2.50655628356959
"AFF1",1.89881632223873,1.89881632223873,1.89881632223872
"AFF2",1.95008169955961,1.95008169955961,1.95008169955961
"AFF3",1.95404318802236,1.95404318802236,1.95404318802236
"AFF4",2.00524987015055,2.00524987015055,2.00524987015055
"AFG3L2",2.10802898511939,2.10802898511939,2.10802898511939
"AFM",1.6470573891863,1.6470573891863,1.6470573891863
"AFP",1.64665166608673,1.64665166608673,1.64665166608673
"AGA",1.9462217553226,1.9462217553226,1.9462217553226
"AGER",1.70956793317925,1.70956793317925,1.70956793317925
"AGL",1.86458534137391,1.86458534137391,1.86458534137391
"AGPAT1",2.24624178345076,2.24624178345076,2.24624178345076
"AGPAT2",1.89922123374987,1.89922123374987,1.89922123374987
"AGPAT3",2.05184158338691,2.05184158338691,2.05184158338691
"AGPAT4",2.18952642629747,2.18952642629747,2.18952642629747
"AGPS",1.80967911731386,1.80967911731386,1.80967911731386
"AGR2",1.60379365907935,1.60379365907935,1.60379365907935
"AGRP",1.70708013818528,1.70708013818528,1.70708013818528
"AGT",2.49964550999953,2.49964550999953,2.49964550999953
