"","F","M"
"A2M",2.44010299121473,2.53934894793747
"A4GALT",1.98666281737548,1.92533178846617
"A4GNT",1.72627242762012,1.82608169994114
"AAAS",1.87326297777526,1.97999392959541
"AADAC",1.48338296734429,1.61557796484031
"AAMP",2.11884252998456,2.31252503736745
"AARS",2.34146677957932,2.5823027235532
"AASDHPPT",2.01331185962997,2.23071910313516
"AASS",1.64377380031599,1.69371321546411
"AATF",2.13169802498475,2.26015269969103
"ABAT",1.89446155851378,2.16176347410846
"ABCA1",2.38529839351195,2.41086810342711
"ABCA3",2.16402413968477,2.41535176875673
"ABCA4",1.56151454193905,1.71433048523231
"ABCA7",1.78260641376604,1.89036730707915
"ABCA8",2.13727123240245,2.22271646360184
"ABCB1",1.99714896508429,2.06901429723448
"ABCB11",1.46073397263311,1.59716612463045
"ABCB4",1.56180082253344,1.68597274679064
"ABCB6",1.9528655077022,2.0967046445149
"ABCB7",2.02307952236389,2.10315522781835
"ABCB8",1.71775137035963,1.78742401288679
"ABCB9",1.60524523986264,1.77070193821719
"ABCC1",1.54513982776175,1.69721095850807
"ABCC2",1.60063473926905,1.73832399306275
"ABCC3",1.64520901016846,1.74652071181971
"ABCC4",1.84701192203292,1.87440779937287
"ABCC5",2.11254064916911,2.36510595631737
"ABCC6",1.53350886431208,1.64978016472302
"ABCC8",1.9552489441065,2.17855159444062
"ABCC9",1.62916846536423,1.71013133315173
"ABCD1",1.78851239066076,1.87241254441666
"ABCD3",2.01202451691843,2.13031816511993
"ABCD4",1.83216410080865,1.92606934275583
"ABCE1",2.00285125399733,2.23023421376227
"ABCF1",2.15302845029731,2.3697812122793
"ABCF2",1.7731241312396,1.87926501725187
"ABCG1",2.04108736340589,2.15409639549993
"ABCG2",1.98176265766247,2.0947598825154
"ABCG4",1.86608807668095,2.1391677199556
"ABCG5",1.62031668120553,1.77528853044511
"ABHD2",1.68768923618072,1.85258282964334
"ABI1",1.75756515131445,1.92937270418769
"ABI2",1.8545128369469,2.09556417563878
"ABL1",1.95692470991665,2.02966241250985
"ABL2",1.63213379262313,1.79026248615191
"ABLIM1",1.96724826347362,2.08396914329317
"ACAA1",2.20041304705855,2.33204741944379
"ACAA2",2.10030137982087,2.14672652946203
"ACACA",2.01976716450454,2.30777050126347
"ACACB",2.14689121961337,2.16240953467588
"ACAD8",1.73813458707899,1.82338279909042
"ACADL",1.78617461661178,1.76940745659119
"ACADM",2.10302451936322,2.2540798166318
"ACADSB",1.52095111633646,1.60742826636157
"ACADVL",2.40843676805689,2.5670484652117
"ACAT1",2.18827805343234,2.4037970377431
"ACBD3",2.09477950077021,2.31792520124619
"ACE2",1.63021201530204,1.70636604228462
"ACHE",1.74411187351437,1.91138501880183
"ACLY",2.0134514998466,2.29082525004774
"ACO1",2.23991905870126,2.37238783145771
"ACO2",2.05851083032705,2.26772560059963
"ACOT7",2.02209835654949,2.46580077355325
"ACOT8",1.92667121106661,2.12639425506692
"ACOT9",1.87542121740318,2.0127129960943
"ACOX1",1.78826071377051,1.87054079074961
"ACOX2",1.93926237529322,1.98984850040205
"ACOX3",1.79936116660873,1.96683847784916
"ACP1",1.98985454168753,2.26631502394313
"ACP2",1.88845019623454,2.11139509607329
"ACP5",1.61769263775177,1.6894257130853
"ACP6",1.94680632446639,2.0360318115565
"ACPP",1.56701913403623,1.65961906596589
"ACR",1.68663082048245,1.81750047963774
"ACRV1",1.75005269295918,1.94490684722993
"ACSBG1",2.3900640115057,2.42424956815013
"ACSL1",2.01640357247835,2.09807788521989
"ACSL3",1.85742801904875,2.11690415536899
"ACSL4",1.94072351959654,2.14708470694364
"ACSL5",1.75255669482085,1.68560987611408
"ACSM3",1.47013813844575,1.63338097389485
"ACTA2",2.46116647816588,2.59378937411296
"ACTB",2.55489531504526,2.78818829982895
"ACTG2",1.94266924423502,1.99731864912965
"ACTL6A",2.0080372067138,2.02755875767526
