Gene,Category
Gm8093,MicroByMacroCuffdiff2FCover20
Siglech,MicroByMacroCuffdiff2FCover20
Slc16a9,MicroByMacroCuffdiff2FCover20
Sparc,MicroByMacroCuffdiff2FCover20
Olfml3,MicroByMacroCuffdiff2FCover20
Hoxd4,MicroByMacroCuffdiff2FCover20
Gm26903,MicroByMacroCuffdiff2FCover20
Adgrg1,MicroByMacroCuffdiff2FCover20
Gpr34,MicroByMacroCuffdiff2FCover20
Ttr,MicroByMacroCuffdiff2FCover20
Gm28873,MicroByMacroCuffdiff2FCover20
Cx3cr1,MicroByMacroCuffdiff2FCover20
Tspan7,MicroByMacroCuffdiff2FCover20
P2ry13,MicroByMacroCuffdiff2FCover20
Serpinf1,MicroByMacroCuffdiff2FCover20
Acss3,MicroByMacroCuffdiff2FCover20
Slc40a1,MicroByMacroCuffdiff2FCover20
Serpine2,MicroByMacroCuffdiff2FCover20
mt-Tv,MicroByMacroCuffdiff2FCover20
F11r,MicroByMacroCuffdiff2FCover20
mt-Tg,MicroByMacroCuffdiff2FCover20
Slc2a5,MicroByMacroCuffdiff2FCover20
Havcr2,MicroByMacroCuffdiff2FCover20
Itgb5,MicroByMacroCuffdiff2FCover20
Sox4,MicroByMacroCuffdiff2FCover20
Asb2,MicroByMacroCuffdiff2FCover20
Khdrbs3,MicroByMacroCuffdiff2FCover20
Crybb1,MicroByMacroCuffdiff2FCover20
P2ry12,MicroByMacroCuffdiff2FCover20
Cd34,MicroByMacroCuffdiff2FCover20
Hpgd,MicroByMacroCuffdiff2FCover20
Tmem204,MicroByMacroCuffdiff2FCover20
mt-Ta,MicroByMacroCuffdiff2FCover20
Tmem100,MicroByMacroCuffdiff2FCover20
Kcnd1,MicroByMacroCuffdiff2FCover20
mt-Atp8,MicroByMacroCuffdiff2FCover20
Phyhd1,MicroByMacroCuffdiff2FCover20
Gm5086,MicroByMacroCuffdiff2FCover20
Rtn1,MicroByMacroCuffdiff2FCover20
Enpp2,MicroByMacroCuffdiff2FCover20
P3h2,MicroByMacroCuffdiff2FCover20
Gm10605,MicroByMacroCuffdiff2FCover20
Ccl12,MicroByMacroCuffdiff2FCover20
Ptn,MicroByMacroCuffdiff2FCover20
mt-Ts2,MicroByMacroCuffdiff2FCover20
Lrrc3,MicroByMacroCuffdiff2FCover20
Rn7sk,MicroByMacroCuffdiff2FCover20
mt-Tm,MicroByMacroCuffdiff2FCover20
mt-Rnr2,MicroByMacroCuffdiff2FCover20
Hpgds,MicroByMacroCuffdiff2FCover20
Tlr12,MicroByMacroCuffdiff2FCover20
Ebf3,MicroByMacroCuffdiff2FCover20
mt-Tq,MicroByMacroCuffdiff2FCover20
mt-Tw,MicroByMacroCuffdiff2FCover20
Duoxa1,MicroByMacroCuffdiff2FCover20
Rnase4,MicroByMacroCuffdiff2FCover20
Clu,MicroByMacroCuffdiff2FCover20
Usp2,MicroByMacroCuffdiff2FCover20
Wfdc21,MicroByMacroCuffdiff2FCover20
mt-Tp,MicroByMacroCuffdiff2FCover20
S100a9,MicroByMacroCuffdiff2FCover20
Slco1c1,MicroByMacroCuffdiff2FCover20
Tnfrsf17,MicroByMacroCuffdiff2FCover20
Myadml2,MicroByMacroCuffdiff2FCover20
Sgce,MicroByMacroCuffdiff2FCover20
Camk2n1,MicroByMacroCuffdiff2FCover20
Gpr84,MicroByMacroCuffdiff2FCover20
Vcam1,MicroByMacroCuffdiff2FCover20
Gas6,MicroByMacroCuffdiff2FCover20
Gm15512,MicroByMacroCuffdiff2FCover20
Zfp697,MicroByMacroCuffdiff2FCover20
Tmem119,MicroByMacroCuffdiff2FCover20
Kcnj10,MicroByMacroCuffdiff2FCover20
Pxdc1,MicroByMacroCuffdiff2FCover20
mt-Rnr1,MicroByMacroCuffdiff2FCover20
Ttc9,MicroByMacroCuffdiff2FCover20
Ccl4,MicroByMacroCuffdiff2FCover20
mt-Ty,MicroByMacroCuffdiff2FCover20
Rab3il1,MicroByMacroCuffdiff2FCover20
Parvg,MicroByMacroCuffdiff2FCover20
mt-Ti,MicroByMacroCuffdiff2FCover20
