"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"tan","ADbyO_FC1.25__","User",1.81334327017048e-30
"black","MSbyO_FC1.25__","User",1.11058721195294e-15
"red","MSbyO_FC1.25__","User",2.38555670058054e-12
"cyan","PDbyO_FC1.25__","User",7.28476204192779e-10
"darkgrey","MSbyO_FC1.25__","User",5.7563560150154e-07
"darkgrey","HDbyO_FC1.25__","User",4.79791646345758e-06
"midnightblue","MSbyO_FC1.25__","User",0.000210462285656467
"tan","HDbyO_FC1.25__","User",0.000233292239475827
"tan","MSbyO_FC1.25__","User",0.00558792138025988
"red","ADbyO_FC1.25__","User",0.0158038633463211
