"","turquoise....MSbyO_FC1.25__"
"1","ABCB7"
"2","ACTL6A"
"3","ADAMTS9"
"4","BAG4"
"5","CD44"
"6","CEBPG"
"7","CHI3L1"
"8","DDR2"
"9","DDX3X"
"10","ETV6"
"11","HIST1H1D"
"12","NR6A1"
"13","PDPN"
"14","PIM1"
"15","PLEKHA4"
"16","PPIG"
"17","RPN2"
"18","SIRT1"
"19","SLC38A2"
"20","SPR"
"21","TAF13"
"22","TRIP10"
