"","brown....PDbyO_FC1.25__"
"1","ADH5"
"2","ALDH1A1"
"3","CAPZA1"
"4","CNTN6"
"5","FABP3"
"6","GHITM"
"7","GPX3"
"8","GTF2H5"
"9","ITGB1BP1"
"10","ITPR1"
"11","LDHA"
"12","NDFIP1"
"13","NDUFA5"
"14","PIAS2"
"15","PLD3"
"16","SNCA"
"17","STOML2"
"18","SYT1"
"19","UBE2N"
"20","UQCRB"
"21","UQCRH"
"22","VAPB"
"23","VDAC3"
