"","green....MSbyO_FC1.25__"
"1","AKR1C3"
"2","CAST"
"3","CD79A"
"4","FAS"
"5","FPR1"
"6","GNAI3"
"7","ITPR2"
"8","LIMS1"
"9","MAN1C1"
"10","MKLN1"
"11","MSR1"
"12","MTHFD2"
"13","MUC1"
"14","OSMR"
"15","PLCE1"
"16","PLOD2"
"17","PTPN21"
"18","RAB27A"
"19","RHOQ"
"20","SAA1"
"21","SERPINA5"
"22","SRPX2"
"23","ST8SIA1"
"24","TBL1X"
"25","TGFB2"
"26","TNC"
"27","TPST1"
"28","ZNF217"
