"","HuAgeMSNDsplitRnaseq_15....MSbyO_FC1.25__"
"1","ANGPTL4"
"2","BAG3"
"3","CASP4"
"4","CASP7"
"5","CCL2"
"6","CDKN1A"
"7","CHORDC1"
"8","CLK1"
"9","DNAJB1"
"10","EMP1"
"11","F3"
"12","FABP5"
"13","HMOX1"
"14","HSPA1A"
"15","MICB"
"16","MSN"
"17","NFIL3"
"18","PDIA4"
"19","PLAUR"
"20","PLSCR1"
"21","SERPINH1"
"22","THBS1"
"23","TNFRSF1A"
