"","tan....MSbyO_FC1.25__"
"1","ANXA1"
"2","ANXA2"
"3","C1R"
"4","C5AR1"
"5","CEBPB"
"6","CEBPD"
"7","CYP1B1"
"8","DHRS3"
"9","EMP3"
"10","GYPC"
"11","JAM2"
"12","LILRB5"
"13","P4HA1"
"14","RAB23"
"15","S100A10"
"16","S100A4"
"17","S100A8"
"18","SERPING1"
"19","SLC7A2"
"20","TGFBR3"
"21","TMOD3"
"22","TNFRSF11B"
"23","VAMP8"
"24","VIM"
"25","ZFP36L1"
