"","red....ADbyO_FC1.25__"
"1","ALOX5AP"
"2","APOC1"
"3","C1QB"
"4","C2"
"5","CASP1"
"6","CD163"
"7","CYTL1"
"8","GPR65"
"9","HLA-DRA"
"10","HLA-DRB1"
"11","IL1R2"
"12","IRAK3"
"13","LAT2"
"14","LCP1"
"15","LILRA2"
"16","LILRB2"
"17","PYGL"
"18","RNASE2"
"19","RNASE6"
"20","SAMSN1"
"21","SLC7A7"
"22","SOAT1"
"23","TLR8"
