"","cyan....PDbyO_FC1.25__"
"1","ACHE"
"2","ACTL6B"
"3","ATP2B3"
"4","BSN"
"5","CHGB"
"6","CLSTN2"
"7","CPLX2"
"8","CRMP1"
"9","DNM1"
"10","GAP43"
"11","IDS"
"12","INA"
"13","L1CAM"
"14","MAP2"
"15","MOAP1"
"16","NAP1L2"
"17","NDRG4"
"18","NEFL"
"19","OLFM1"
"20","PFKM"
"21","RAB3A"
"22","RGS4"
"23","SCG2"
"24","SCN3B"
"25","SEZ6L"
"26","SNCB"
"27","SPTBN2"
"28","STMN2"
"29","SULT4A1"
"30","SYNGR3"
"31","TAGLN3"
"32","UCHL1"
