"","other","myeoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"2700046A07Rik",0.765140561474817,4.30981570074931,2.02881877203155,0.102506519646985,1.3326936821962,0.0905382643096449,2.02881877203155,0.0724848875292,0.12502900022005,0.116009997615263
"A930003A15Rik",0.255495543058137,1.61606231244076,0.515646051006906,0.197934694775792,0.472090901386789,0,0.515646051006906,0,0.089789365141068,0.543601658141465
"AC110091.1",0.411791279223218,5.74200587911996,1.61590348161909,0.0244699271139241,1.04503034516121,0.00293749786791089,1.61590348161909,0.00391666382388118,0.0212622805957533,0.0523414895801465
"AC114543.1",0.0625572311165112,1.22047686434963,0.283538202351636,0.0139388354399164,0.180433401496496,0.0278776708798329,0.283538202351636,0.0371702278397772,0,0
"AC116487.3",0.358984722319998,2.93233671599456,1.06432261752027,0.0634830632290831,0.723465711679503,0,1.06432261752027,0,0,0.203145802333066
"AC131033.1",1.65829729024743,1.30804284404775,0.418268497996479,2.69954067769205,1.03686720682289,3.27966640811501,0.418268497996479,3.37875885616889,2.0365526879314,2.5474668532805
"AC140244.1",1.36820542268301,7.884325649746,3.76906101529283,0.0819718075322831,2.45810923339165,0,3.76906101529283,0,0.262309784103306,0
"AC161383.1",0.0641095384123918,0.6758673283972,0.0965524754853143,0.112191692221686,0.143036442379153,0,0.0965524754853143,0,0,0.359013415109394
"AC161763.1",1.8590400392284,4.97975561249444,1.54696859425908,2.52219200023482,1.52854709310172,3.5480745343933,1.54696859425908,3.52121112074006,3.242182527359,0.603378528504332
"Acy3",2.12992714540408,6.94037750152901,3.17649666301906,1.81548511200658,2.28762249996225,2.89887750940033,3.17649666301906,3.76612892874853,0.332774505954003,0.957423137968818
"Adamtsl4",1.72488323857078,4.19636334824573,2.03055023203674,1.76635963299744,2.10663098742397,1.29294695664325,2.03055023203674,1.63574321711187,1.06758191648335,2.62187704857422
"Adap1",3.014612211845,5.80378607211228,3.09949173560674,3.28898936108689,3.19418773050433,3.21807300059868,3.09949173560674,3.97251287460729,1.06289598831163,4.69485451763768
"Adi1",4.67725718087412,8.26662158677345,5.49603775835435,4.40949472631633,5.1291233636459,4.33196627972654,5.49603775835435,4.34559081395683,5.36554642214476,3.5301277253193
"Adssl1",3.41969546726251,6.17608604946552,2.27280519789898,4.76777327573098,3.42957550573391,4.08162300701691,2.27280519789898,4.8879037107017,2.83734599915294,6.55404403034415
"Ankub1",0.227429559888423,1.67146820492507,0.448948783593943,0.214105069775673,0.420866261563977,0.0564882915398112,0.448948783593943,0.0462481775171404,0.153767433325186,0.4758709769364
"Anln",1.46219708250659,4.79073052744346,2.12490774236895,1.29839193574413,1.70583049171634,1.624338568414,2.12490774236895,2.10358016741128,0.34511348596284,1.28544450752484
"Aplp1",3.74102481343554,12.1669273077495,8.22648423310814,0.869485633011249,5.79333996369446,0.203633773801985,8.22648423310814,0.0287168341783175,2.32519159066214,0.422702233959879
"Apod",1.99189564750546,9.00042210128494,4.5813725304771,0.602169181627705,3.11292753644377,0.661189566369959,4.5813725304771,0.324878114215999,1.03956304743236,0.497524596717098
"Arsg",1.71487116757866,3.90067319251155,1.78409164318595,1.92752850453889,1.92202641977894,1.69164473026111,1.78409164318595,1.86995481359049,2.24141854130568,1.68272689691019
"Aspa",1.57744103008707,6.09864532011312,2.14539179885536,1.64563464366808,1.51461964060278,2.8805009236754,2.14539179885536,3.74920285579067,0.37534159370919,0.391645839079866
"B3galt5",0.998765626364337,3.93867243165673,1.66301000092866,0.785040149282103,1.54482962084156,0.232066342875081,1.66301000092866,0.0640934504047921,2.09605593843612,0.339160398780861
"Car14",2.25946757907668,6.60005727876981,3.37349704224893,1.8272655112626,2.6031495303268,2.39948963806212,3.37349704224893,2.57201238572585,1.24833802746155,1.51249674570775
