"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.31806499578933,0.504270439759319,0.361832851334303,NA,7.81647457870349e-08,0,7.22689019738709e-10
"peritoneum",0.31806499578933,1,0.70034986393998,0.755484318306363,7.81647457870349e-08,NA,0,0
"brain",0.504270439759319,0.70034986393998,1,0.766307983106722,0,0,NA,0
"blood",0.361832851334303,0.755484318306363,0.766307983106722,1,7.22689019738709e-10,0,0,NA
