"","other","myeoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","myeoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.669637710424131,0.844971796102645,0.904755266005958,0.962480456877675,0.793561696816864,0.844971796102645,0.727965314009785,0.832162649952077,0.823765308851552,NA,0,0,0,0,0,0,0,0,0
"myeoligo",0.669637710424131,1,0.910951996260119,0.370719174669113,0.802844448137519,0.316706343749716,0.910951996260119,0.281801087854392,0.382470022308553,0.319367989494744,0,NA,0,2.05069459235929e-06,0,5.94727806344508e-05,0,0.000381929759249111,9.0517879858254e-07,5.11064059267596e-05
"mouse_FVN_Swiss",0.844971796102645,0.910951996260119,1,0.541942379232743,0.938357112833772,0.453212846450743,1,0.404346028383097,0.558039748410849,0.474832576547799,0,0,NA,3.28181926079196e-13,0,3.18879789240611e-09,0,1.80977425934259e-07,4.57411886145564e-14,4.31314095550306e-10
"mouse_C57BL6",0.904755266005958,0.370719174669113,0.541942379232743,1,0.775307309629089,0.898825681733581,0.541942379232743,0.834645559545359,0.865894865343047,0.926010884577039,0,2.05069459235929e-06,3.28181926079196e-13,NA,0,0,3.28181926079196e-13,0,0,0
"No_data",0.962480456877675,0.802844448137519,0.938357112833772,0.775307309629089,1,0.612272547937413,0.938357112833772,0.541358656719418,0.768106924202121,0.738260035681687,0,0,0,0,NA,0,0,3.5171865420125e-13,0,0
"5_months",0.793561696816864,0.316706343749716,0.453212846450743,0.898825681733581,0.612272547937413,1,0.453212846450743,0.97750254693064,0.673107762749391,0.705610319725338,0,5.94727806344508e-05,3.18879789240611e-09,0,0,NA,3.18879789240611e-09,0,0,0
"cerebral_cortex",0.844971796102645,0.910951996260119,1,0.541942379232743,0.938357112833772,0.453212846450743,1,0.404346028383097,0.558039748410849,0.474832576547799,0,0,0,3.28181926079196e-13,0,3.18879789240611e-09,NA,1.80977425934259e-07,4.57411886145564e-14,4.31314095550306e-10
"peritoneum",0.727965314009785,0.281801087854392,0.404346028383097,0.834645559545359,0.541358656719418,0.97750254693064,0.404346028383097,1,0.534064129813624,0.642759062097217,0,0.000381929759249111,1.80977425934259e-07,0,3.5171865420125e-13,0,1.80977425934259e-07,NA,8.28892510185142e-13,0
"brain",0.832162649952077,0.382470022308553,0.558039748410849,0.865894865343047,0.768106924202121,0.673107762749391,0.558039748410849,0.534064129813624,1,0.77541501436079,0,9.0517879858254e-07,4.57411886145564e-14,0,0,0,4.57411886145564e-14,8.28892510185142e-13,NA,0
"blood",0.823765308851552,0.319367989494744,0.474832576547799,0.926010884577039,0.738260035681687,0.705610319725338,0.474832576547799,0.642759062097217,0.77541501436079,1,0,5.11064059267596e-05,4.31314095550306e-10,0,0,0,4.31314095550306e-10,0,0,NA
