"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.425411192461178,NA,2.00062189037453e-13
"mouse_C57BL6",0.425411192461178,1,2.00062189037453e-13,NA
