"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.389239003589764,0.648741470393628,0.50538123388702,NA,7.89574827275707e-06,4.44089209850063e-16,2.14543138810086e-09
"peritoneum",0.389239003589764,1,0.578277043555771,0.682393250199784,7.89574827275707e-06,NA,2.01771932495376e-12,0
"brain",0.648741470393628,0.578277043555771,1,0.730343039548455,4.44089209850063e-16,2.01771932495376e-12,NA,0
"blood",0.50538123388702,0.682393250199784,0.730343039548455,1,2.14543138810086e-09,0,0,NA
